Reactants_SMILES,Products_SMILES,Reaction_SMILES,ROOT:RX_ID,ROOT:RX_NVAR,ROOT:RX_RANK,ROOT:RX_RTYP,ROOT:RX_RCT,ROOT:RX_PRO,ROOT:RX_BIN,ROOT:RXD:CL,ROOT:RXD:STP,ROOT:RXD:T,ROOT:RXD:TYP,ROOT:RXD:SUB,ROOT:RXD:SOL,ROOT:RXD:citation,ROOT:COPYRIGHT:COPYRIGHT,ROOT:RXD:TIM,ROOT:RXD:COND,ROOT:RXD:PH,ROOT:RXD:LCN,ROOT:RXD:COM,ROOT:RXD:RGT,ROOT:RXD:YPRO,ROOT:RXD:YD,ROOT:RXD:NYD,ROOT:RXD:PRT,ROOT:RXD:RXDES,ROOT:RXD:YDO,ROOT:RXD:SNR,ROOT:RXD:SRCT,ROOT:RXD:LB,ROOT:RXD:TI,ROOT:RXD:TXT,ROOT:RXD:CAT
CC[N+](=O)[O-],CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC.CCOC(=O)C(C(=O)OCC)C(C(C)[N+](=O)[O-])[Si](C)(C)c1ccccc1.CCOC(=O)C(C(=O)OCC)C(C(C)[N+](=O)[O-])[Si](C)(C)c1ccccc1,CC[N+](=O)[O-]>>CCOC(=O)C(=C[Si](C)(C)c1ccccc1)C(=O)OCC.CCOC(=O)C(C(=O)OCC)C(C(C)[N+](=O)[O-])[Si](C)(C)c1ccccc1.CCOC(=O)C(C(=O)OCC)C(C(C)[N+](=O)[O-])[Si](C)(C)c1ccccc1,54183497,1,56,full reaction,Nitroethane|ethyl 2-ethoxycarbonyl-3-dimethyl(phenyl)silyl-2-propenoate,C18H27NO6Si|C18H27NO6Si,228975|228975,Chemical behaviour,1,20|-20,Michael Addition|Michael Addition,Catalytic behavior,toluene|toluene,"79751163; Article; Chowdhury, Raghunath;Dubey, Akhil K.;Ghosh, Sunil K.; European Journal of Organic Chemistry; vol. 2020; 19; (2020); p. 2962 - 2972;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,0.0833333|48,Inert atmosphere|Inert atmosphere,,,Overall yield = 70 percent; Overall yield = 53 mg; stereoselective reaction,C27H29N5O3S,,,,Temperature,Experimental part,80 percent ee,2,ethyl 2-ethoxycarbonyl-3-dimethyl(phenyl)silyl-2-propenoate|Nitroethane,,,,
C[N+](=O)[O-],O=C1OC/C(=C\c2ccccc2)C1=O.O=C1OCC([C@@H](C[N+](=O)[O-])c2ccccc2)=C1O.O=C1OCC([C@H](C[N+](=O)[O-])c2ccccc2)=C1O,C[N+](=O)[O-]>>O=C1OC/C(=C\c2ccccc2)C1=O.O=C1OCC([C@@H](C[N+](=O)[O-])c2ccccc2)=C1O.O=C1OCC([C@H](C[N+](=O)[O-])c2ccccc2)=C1O,54314343,1,56,full reaction,"nitromethane|E-4-benzylidene-(4H,5H)-2,3-furandione",3-hydroxy-4-((S)-2-nitro-1-phenylethyl)furan-2(5H)-one|3-hydroxy-4-(2-nitro-1-phenylethyl)furan-2(5H)-one,210674|210674,Chemical behaviour,1,0,Michael Addition,Catalytic behavior,dichloromethane,"79754315; Article; Fofana, Mouhamadou; Dudognon, Yohan; Bertrand, Laura; Constantieux, Thierry; Rodriguez, Jean; Ndiaye, Ibrahima; Bonne, Damien; Bugaut, Xavier; European Journal of Organic Chemistry;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,48,Inert atmosphere,,supporting information,Overall yield = 62 percent; Overall yield = 31 mg; enantioselective reaction,"3-((3,5-bis(trifluoromethyl)phenyl)amino)-4-(((S)-(6-methoxyquinolin-4-yl)((1S,2S,4S,5R)-5-vinylquinuclidin-2-yl)methyl)amino)cyclobut-3-ene-1,2-dione",,,,Reagent/catalyst|Solvent|Temperature,Experimental part,89 percent ee,,,,,,
CC1=CCC(=O)O1,COc1ccc2c(=O)ccoc2c1.[H][C@@]1([C@@]2(C)C=CC(=O)O2)CC(=O)c2ccc(OC)cc2O1.COc1ccc2c(c1)OC(C1(C)C=CC(=O)O1)CC2=O,CC1=CCC(=O)O1>>COc1ccc2c(=O)ccoc2c1.[H][C@@]1([C@@]2(C)C=CC(=O)O2)CC(=O)c2ccc(OC)cc2O1.COc1ccc2c(c1)OC(C1(C)C=CC(=O)O1)CC2=O,54566306,1,56,full reaction,5-methyl-2-furanone|7-methoxy-4H-chromen-4-one,C15H14O5|C15H14O5,210249|210249,Chemical behaviour,1,-20,Michael Addition,Catalytic behavior,2-methyltetrahydrofuran,"80319060; Article; Cui, Jin;Kumagai, Naoya;Watanabe, Takumi;Shibasaki, Masakatsu; Chemical Science; vol. 11; 27; (2020); p. 7170 - 7176;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,24,,,,Overall yield = 86 percentSpectr.; stereoselective reaction,"tetrakis(actonitrile)copper(I) hexafluorophosphate|2,2,5,7,8-pentameth",,,,Reagent/catalyst|Temperature,Scheme or table,> 99 percent ee,,,,,,
CC1=CCC(=O)O1,O=c1ccoc2ccccc12.[H][C@]1([C@@]2(C)C=CC(=O)O2)CC(=O)c2ccccc2O1.[H][C@@]1([C@]2(C)C=CC(=O)O2)CC(=O)c2ccccc2O1.[H][C@@]1([C@@]2(C)C=CC(=O)O2)CC(=O)c2ccccc2O1,CC1=CCC(=O)O1>>O=c1ccoc2ccccc12.[H][C@]1([C@@]2(C)C=CC(=O)O2)CC(=O)c2ccccc2O1.[H][C@@]1([C@]2(C)C=CC(=O)O2)CC(=O)c2ccccc2O1.[H][C@@]1([C@@]2(C)C=CC(=O)O2)CC(=O)c2ccccc2O1,54566308,2,56,full reaction|has preparation,5-methyl-2-furanone|1-benzopyran-4(4H)-one,(R)-2-[(R)-2-methyl-5-oxo-2H-fur-2-yl]-4-chromanone|C14H12O4|C14H12O4,210249|210249|210249,"['Preparation', 'Chemical behaviour']","['1', '1']","['-40', '-40']","['Michael Addition', 'Michael Addition']",Catalytic behavior,"['2-methyltetrahydrofuran', '2-methyltetrahydrofuran']","['80319060; Article; Cui, Jin;Kumagai, Naoya;Watanabe, Takumi;Shibasaki, Masakatsu; Chemical Science; vol. 11; 27; (2020); p. 7170 - 7176;', '80319060; Article; Cui, Jin;Kumagai, Naoya;Watanabe, Takumi;Shibasaki, Masakatsu; Chemical Science; vol. 11; 27; (2020); p. 7170 - 7176;']",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,"['24', '24']",,,,"['Overall yield = 57 percentSpectr.; stereoselective reaction', 'Overall yield = 95 percentSpectr.; stereoselective reaction']","['tetrakis(actonitrile)copper(I) hexafluorophosphate|N,N,N′,N′-tetramethyl-N″-te', 'tetrakis(actonitrile)copper(I) hexafluorophosphate|N,']",,,,"['Reagent/catalyst|Solvent|Temperature', 'Reagent/catalyst|Solvent|Temperature']","['Scheme or table', 'Scheme or table']","['98 percent ee|37 percent ee', '> 99 percent ee|46 percent ee']",,,,,,
CCO,COC(=O)[C@@H]1CCCN1.CCOC(=O)C#Cc1ccccc1.CCOC(=O)/C=C(\c1ccccc1)N1CCC[C@H]1C(=O)OCC,CCO>>COC(=O)[C@@H]1CCCN1.CCOC(=O)C#Cc1ccccc1.CCOC(=O)/C=C(\c1ccccc1)N1CCC[C@H]1C(=O)OCC,54600243,1,56,full reaction|has preparation,ethanol|methyl (2S)-pyrrolidine carboxylate|phenylpropynoic acid ethyl ester,ethyl (E)-(3-ethoxy-3-oxo-1-phenylprop-1-en-1-yl)-L-prolinate,118213,Preparation,1,100,Michael Addition,,,"80329214; Article; Niedballa, Jonas; Reiss, Guido J.; Müller, Thomas J. J.; E",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,16,Schlenk technique|Inert atmosphere,,supporting information,,,ethyl (E)-(3-ethoxy-3-oxo-1-phenylprop-1-en-1-yl)-L-prolinate,85 mg,,,Experimental part,,,,,,,
CCOC(=O)C=CC(=O)c1ccccc1,CC(C)(C)OC(=O)C1Cc2ccccc2C1=O.CCOC(=O)[C@H](CC(=O)c1ccccc1)[C@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O.CCOC(=O)[C@@H](CC(=O)c1ccccc1)[C@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O.CCOC(=O)[C@H](CC(=O)c1ccccc1)[C@@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O.CCOC(=O)[C@@H](CC(=O)c1ccccc1)[C@@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O,CCOC(=O)C=CC(=O)c1ccccc1>>CC(C)(C)OC(=O)C1Cc2ccccc2C1=O.CCOC(=O)[C@H](CC(=O)c1ccccc1)[C@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O.CCOC(=O)[C@@H](CC(=O)c1ccccc1)[C@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O.CCOC(=O)[C@H](CC(=O)c1ccccc1)[C@@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O.CCOC(=O)[C@@H](CC(=O)c1ccccc1)[C@@]1(C(=O)OC(C)(C)C)Cc2ccccc2C1=O,54638647,1,56,full reaction,"ethyl 3-benzoyl acrylate|tert-butyl 2,3-dihydro-1-oxo-1H-indene-2-carboxylate","tert-butyl 2-(1-ethoxy-1,4-dioxo-4-phenylbutan-2-yl)-1-oxo-2,3-dihydro-1H-indene-2-carboxylate|tert-butyl 2-(1-ethoxy-1,4-dioxo-4-phenylbutan-2-yl)-1-oxo-2,3-dihydro-1H-indene-2-carboxylate|tert-butyl",228992|228992|228992|228992,Chemical behaviour,1,-20|-20,Michael Addition|Michael Addition,Catalytic behavior,dichloromethane|dichloromethane,"80326325; Article; Hong, Haoran; Wang, Hongyu; Zheng, Changwu; Zhao, Gang; Shang, Yongjia; Chinese Chemical Letters; vol. 32; 2; (2021); p. 708 - 712;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,0.166667|72,,,supporting information,Overall yield = 76 percent; Optical yield = 42 percent ee,"(S)-N-((S)-1-(diphenylphosphanyl)-3,3-dimethylbutan-2-yl)-2-(3-(4-nitrophenyl)thioureido)-2-phenylacetamide|acrylic acid methyl ester",,,,Temperature|Reagent/catalyst,Scheme or table,84 percent ee,2,"tert-butyl 2,3-dihydro-1-oxo-1H-indene-2-carboxylate|ethyl 3-benzoyl acrylate",,,,
CCOC(=O)C(=O)C=Cc1ccccc1,CC(=C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc21)c1ccccc1.CCOC(=O)C(=O)C[C@H](C/C(=C1\C(=O)N(C(=O)OC(C)(C)C)c2ccccc21)c1ccccc1)c1ccccc1.CCOC(=O)C(=O)C[C@@H](C/C(=C1\C(=O)N(C(=O)OC(C)(C)C)c2ccccc21)c1ccccc1)c1ccccc1,CCOC(=O)C(=O)C=Cc1ccccc1>>CC(=C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc21)c1ccccc1.CCOC(=O)C(=O)C[C@H](C/C(=C1\C(=O)N(C(=O)OC(C)(C)C)c2ccccc21)c1ccccc1)c1ccccc1.CCOC(=O)C(=O)C[C@@H](C/C(=C1\C(=O)N(C(=O)OC(C)(C)C)c2ccccc21)c1ccccc1)c1ccccc1,54964280,1,56,full reaction,ethyl 4-phenyl-2-oxobut-3-enoate|C21H21NO3,"tert-butyl (E)-3-(6-ethoxy-5,6-dioxo-1,3-diphenylhexylidene)-2-oxoindoline-1-carboxylate|tert-butyl (E)-3-(6-ethoxy-5,6-dioxo-1,3-diphenylhexylidene)-2-oxoindoline-1-carboxylate",229193|229193,Chemical behaviour,1,-20,Michael Addition,Catalytic behavior,chloroform,"80673781; Article; Jaiswal, Manish K.; Kumar, Rajesh; Singh, Sanjay; Jain, Shailija; Vanka, Kumar; Singh, Ravi P.; European Journal of Organic Chemistry; vol. 2020; 35; (2020); p. 5690 - 5694;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,96,,,supporting information,Overall yield = 55 percent; stereoselective reaction,"1-(3,5-bis(trifluoromethyl)phenyl)-3-((S)-(6-methoxyquinolin-4-yl)((2S,4S,8R)-8-vinylquinuclidin-2-yl)methyl)thiourea",,,,Reagent/catalyst|Solvent,Experimental part,88 percent ee,,,,,,
O=[N+]([O-])/C=C/c1ccccc1,CCCC=O.CCC(C=O)C(C[N+](=O)[O-])c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1.CC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,O=[N+]([O-])/C=C/c1ccccc1>>CCCC=O.CCC(C=O)C(C[N+](=O)[O-])c1ccccc1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1.CC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1,55570176,2,56,full reaction|has preparation,nitrostyrene|butyraldehyde,"2-ethyl-4-nitro-3-phenylbutanal|(2S,3R)-2-ethyl-4-nitro-3-phenylbutanal|(2R,3S)-2-ethyl-4-nitro-3-phenylbutyraldehyde",224825|224825|224825,"['Preparation', 'Chemical behaviour']","['1', '1']","['25', '25']","['Michael Addition', 'Michael Addition']",Catalytic behavior,"['dichloromethane', 'dichloromethane']","['81355445; Article; Ochiai, Hidenori;Nishiyama, Akira;Haraguchi, Naoki;Itsuno, Shinichi; Organic Process Research and Development; vol. 24; 10; (2020); p. 2228 - 2233;', '81355445; Article; Ochiai, Hidenori;Nishiyama, Akira;Haraguchi, Naoki;Itsuno, Shinichi; Organic Process Research and Development; vol. 24; 10; (2020); p. 2228 - 2233;']",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,"['24', '24']","['Inert atmosphere', 'Inert atmosphere']",,"['supporting information', 'supporting information']","['Overall yield = 95 percent; stereoselective reaction', 'Overall yield = 96 percent; stereoselective reaction']","['benzoic acid', 'benzoic acid']",,,,Reagent/catalyst,"['Experimental part', 'Experimental part']","['78.7 percent ee', '87 percent ee']",,,,,,
CC=Cc1nc2ccccc2n1C(=O)OC(C)(C)C,O=[PH](c1ccccc1)c1ccccc1.C[C@@H](Cc1nc2ccccc2n1C(=O)OC(C)(C)C)P(=O)(c1ccccc1)c1ccccc1.C[C@H](Cc1nc2ccccc2n1C(=O)OC(C)(C)C)P(=O)(c1ccccc1)c1ccccc1,CC=Cc1nc2ccccc2n1C(=O)OC(C)(C)C>>O=[PH](c1ccccc1)c1ccccc1.C[C@@H](Cc1nc2ccccc2n1C(=O)OC(C)(C)C)P(=O)(c1ccccc1)c1ccccc1.C[C@H](Cc1nc2ccccc2n1C(=O)OC(C)(C)C)P(=O)(c1ccccc1)c1ccccc1,55942258,1,56,full reaction,C15H18N2O2|Diphenylphosphine oxide,tert-butyl (S)-2-(2-(diphenylphosphoryl)propyl)-1H-benzo[d]imidazole-1-carboxylate|C27H29N2O3P,219300|219300,Chemical behaviour,1,20,Michael Addition,Catalytic behavior,diethyl ether,"81974286; Article; Hou, Linan; Kikuchi, Jun; Ye, Haiting; Bao, Ming; Terada, Masahiro; Journal of Organic Chemistry; vol. 85; 22; (2020); p. 14802 - 14809;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,1,Inert atmosphere,,,Overall yield = 85 percent; enantioselective reaction,C32H11F10O4P,,,,Reagent/catalyst|Solvent,Experimental part,89 percent ee,,,,,,
CC1(CCCCC=O)C=CC(=O)C=C1,[H][C@@]12CC(=O)C=C[C@]1(C)CCC[C@@H]2C=O.[H][C@@]12CC(=O)C=C[C@]1(C)CCC[C@H]2C=O.[H][C@]12CC(=O)C=C[C@@]1(C)CCC[C@@H]2C=O,CC1(CCCCC=O)C=CC(=O)C=C1>>[H][C@@]12CC(=O)C=C[C@]1(C)CCC[C@@H]2C=O.[H][C@@]12CC(=O)C=C[C@]1(C)CCC[C@H]2C=O.[H][C@]12CC(=O)C=C[C@@]1(C)CCC[C@@H]2C=O,56795049,1,56,full reaction,C12H16O2,C12H16O2|C12H16O2|C12H16O2,42745|296563,Chemical behaviour,1,0 - 20,Michael Addition,Catalytic behavior,toluene,"83741138; Article; Lu, Xiao-Long; Qiu, Yuanyou; Yang, Baochao; He, Haibing; Gao, Shuanhu; Chemical Science; vol. 12; 13; (2021); p. 4747 - 4752;",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,10,,,,Overall yield = 52 percentSpectr.; stereoselective reaction,(R)-2-(diphenyl(trimethylsilyloxy)methyl)pyrrolidine,,,,Solvent|Time,Scheme or table,96 percent ee|75 percent ee,,,,,,
O=[N+]([O-])C=Cc1ccccc1,CCC=O.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,O=[N+]([O-])C=Cc1ccccc1>>CCC=O.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,56885518,1,56,full reaction|has preparation,(2-nitroethenyl)benzene|propionaldehyde,"(2R, 3S)-2-methyl-4-nitro-3-phenylbutanal|2-methyl-4-nitro-3-phenylbutanal",224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Body text,,,,,,,
O=[N+]([O-])C=Cc1ccc(F)cc1,CCC=O.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1,O=[N+]([O-])C=Cc1ccc(F)cc1>>CCC=O.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1,56885519,1,56,full reaction|has preparation,4-fluoro-β-nitrostyrene|propionaldehyde,3-(4-fluorophenyl)-2-methyl-4-nitrobutanal|3-(4-fluorophenyl)-2-methyl-4-nitrobutanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
Cc1ccc(C=C[N+](=O)[O-])cc1,CCC=O.Cc1ccc([C@H](C[N+](=O)[O-])[C@H](C)C=O)cc1.Cc1ccc([C@H](C[N+](=O)[O-])[C@@H](C)C=O)cc1,Cc1ccc(C=C[N+](=O)[O-])cc1>>CCC=O.Cc1ccc([C@H](C[N+](=O)[O-])[C@H](C)C=O)cc1.Cc1ccc([C@H](C[N+](=O)[O-])[C@@H](C)C=O)cc1,56885521,1,56,full reaction|has preparation,4-methyl-β-nitrostyrene|propionaldehyde,2-methyl-4-nitro-3-(p-tolyl)butanal|2-methyl-4-nitro-3-(p-tolyl)butanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
O=[N+]([O-])C=Cc1ccccc1Cl,CCC=O.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl,O=[N+]([O-])C=Cc1ccccc1Cl>>CCC=O.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl,56885523,1,56,full reaction|has preparation,1-chloro-2-(2-nitrovinyl)benzene|propionaldehyde,3-(2-chlorophenyl)-2-methyl-4-nitrobutanal|3-(2-chlorophenyl)-2-methyl-4-nitrobutanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
O=[N+]([O-])C=Cc1cccc(Cl)c1,CCC=O.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1cccc(Cl)c1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1cccc(Cl)c1,O=[N+]([O-])C=Cc1cccc(Cl)c1>>CCC=O.C[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1cccc(Cl)c1.C[C@H](C=O)[C@@H](C[N+](=O)[O-])c1cccc(Cl)c1,56885525,1,56,full reaction|has preparation,3-chloroβ-nitrostyrene|propionaldehyde,3-(3-chlorophenyl)-2-methyl-4-nitrobutanal|3-(3-chlorophenyl)-2-methyl-4-nitrobutanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
COc1ccc(C=C[N+](=O)[O-])cc1,CCC=O.COc1ccc([C@H](C[N+](=O)[O-])[C@H](C)C=O)cc1.COc1ccc([C@H](C[N+](=O)[O-])[C@@H](C)C=O)cc1,COc1ccc(C=C[N+](=O)[O-])cc1>>CCC=O.COc1ccc([C@H](C[N+](=O)[O-])[C@H](C)C=O)cc1.COc1ccc([C@H](C[N+](=O)[O-])[C@@H](C)C=O)cc1,56885527,1,56,full reaction|has preparation,1-methoxy-4-(2-nitro-vinyl)-benzene|propionaldehyde,3-(4-methoxyphenyl)-2-methyl-4-nitrobutanal|3-(4-methoxyphenyl)-2-methyl-4-nitrobutanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
O=[N+]([O-])C=Cc1ccccc1,CCCC=O.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,O=[N+]([O-])C=Cc1ccccc1>>CCCC=O.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,56885530,1,56,full reaction|has preparation,(2-nitroethenyl)benzene|butyraldehyde,"rac-(2R,3S)-2-ethyl-4-nitro-3-phenylbutanal|2-ethyl-4-nitro-3-phenylbutanal",224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
O=[N+]([O-])C=Cc1ccc(F)cc1,CCCC=O.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1,O=[N+]([O-])C=Cc1ccc(F)cc1>>CCCC=O.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(F)cc1,56885531,1,56,full reaction|has preparation,4-fluoro-β-nitrostyrene|butyraldehyde,3-(4-fluorophenyl)-2-ethyl-4-nitrobutanal|3-(4-fluorophenyl)-2-ethyl-4-nitrobutanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
Cc1ccc(C=C[N+](=O)[O-])cc1,CCCC=O.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(C)cc1.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(C)cc1,Cc1ccc(C=C[N+](=O)[O-])cc1>>CCCC=O.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(C)cc1.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccc(C)cc1,56885533,1,56,full reaction|has preparation,4-methyl-β-nitrostyrene|butyraldehyde,2-ethyl-4-nitro-3-(p-tolyl)butanal|2-ethyl-4-nitro-3-(p-tolyl)butanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
O=[N+]([O-])C=Cc1ccccc1Cl,CCCC=O.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl,O=[N+]([O-])C=Cc1ccccc1Cl>>CCCC=O.CC[C@@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1ccccc1Cl,56885535,1,56,full reaction|has preparation,1-chloro-2-(2-nitrovinyl)benzene|butyraldehyde,3-(2-chlorophenyl)-2-ethyl-4-nitrobutanal|3-(2-chlorophenyl)-2-ethyl-4-nitrobutanal,224825|224825,Preparation,1,,Michael Addition,,,"83691902; Article; Gorde, Amol B.; Ansari, Anas; Ramapanicker, Ramesh; Tetrahedron; vol. 87; (2021);",Copyright (C) 2025 Elsevier Life Sciences IP Limited except certain content provided by third parties. Reaxys is a trademark of Elsevier Life Sciences IP Limited.,,,,,,rac-Pro-OH,,,,,Experimental part,,,,,,,
