Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:RGT:AMD,RXN:VAR:CAT:AMD,RXN:RCT:AMD,RXN:PRO:AMD
NCCN,CCCN(CCC(=O)OC)CCC(=O)OC.CCCN(CCC(=O)NCCN)CCC(=O)NCCN,NCCN>>CCCN(CCC(=O)OC)CCC(=O)OC.CCCN(CCC(=O)NCCN)CCC(=O)NCCN,"['107-15-3', '100050-59-7']",2933216-18-1,31-614-CAS-36955251,1,1,100,,67-56-1,alternate reaction conditions gave 43% yield,Multi-motif dendrons and their supramolecular structures and uses thereof,"Khan, Omar Fizal; Tilstra, Grayson; Manning, Alanna Margaret; Lau, Yan","World Intellectual Property Organization, WO2023092242 A1 2023-06-01",,,,,,
[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@@]4(CO)CCC(C)(C)[C@H](O)[C@@]43[H])[C@]1(C)CC[C@@]1([H])C(C)(C)[C@@H](OC(=O)C(C)(C)C)CC[C@]21C,[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@]45CCC(C)(C)[C@]([H])(OC4=O)[C@@]53[H])[C@]1(C)CC[C@@]1([H])C(C)(C)[C@@H](OC(=O)C(C)(C)C)CC[C@]21C,[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@@]4(CO)CCC(C)(C)[C@H](O)[C@@]43[H])[C@]1(C)CC[C@@]1([H])C(C)(C)[C@@H](OC(=O)C(C)(C)C)CC[C@]21C>>[H][C@]12CC[C@@]3([H])[C@@](C)(CC[C@]45CCC(C)(C)[C@]([H])(OC4=O)[C@@]53[H])[C@]1(C)CC[C@@]1([H])C(C)(C)[C@@H](OC(=O)C(C)(C)C)CC[C@]21C,1000296-78-5,1000296-79-6,31-206-CAS-1989120,1,1,100,7529-22-8,,molecular sieves used,Useful approach to access germanicanes from betulin,"Thibeault, Dominic; Legault, Jean; Bouchard, Jimmy; Pichette, Andre","Tetrahedron Letters (2007), 48(48), 8416-8419",114615-82-6,,,,,
[H][C@@]1([C@H](O)[C@H](O)CO)O[C@@](Oc2ccc([N+](=O)[O-])cc2)(C(=O)OC)C[C@H](O)[C@H]1NC(=O)C(C)C,[H][C@@]1([C@H](O)[C@H](O)CO)O[C@@](Oc2ccc([N+](=O)[O-])cc2)(C(=O)O)C[C@H](O)[C@H]1NC(=O)C(C)C,[H][C@@]1([C@H](O)[C@H](O)CO)O[C@@](Oc2ccc([N+](=O)[O-])cc2)(C(=O)OC)C[C@H](O)[C@H]1NC(=O)C(C)C>>[H][C@@]1([C@H](O)[C@H](O)CO)O[C@@](Oc2ccc([N+](=O)[O-])cc2)(C(=O)O)C[C@H](O)[C@H]1NC(=O)C(C)C,1000890-52-7,1000890-35-6,31-352-CAS-14014980,1,2,100,1310-73-2,7732-18-5,Amberlite IR-120 (H+ form) used second stage,Transsialidase from Trypanosoma cruzi for regio- and stereoselective,"Schroven, Andreas; Meinke, Sebastien; Ziegelmueller, Patrick; Thiem,","Chemistry - A European Journal (2007), 13(32), 9012-9021",,,,,,
Cc1nn(COCC[Si](C)(C)C)c(C)c1B1OC(C)(C)C(C)(C)O1,CCn1nccc1C(=O)NC(C(=O)Nc1ccc(Br)c(C)n1)C(C1CC1)C1CC1.CCn1nccc1C(=O)NC(C(=O)Nc1ccc(-c2c(C)nn(COCC[Si](C)(C)C)c2C)c(C)n1)C(C1CC1)C1CC1,Cc1nn(COCC[Si](C)(C)C)c(C)c1B1OC(C)(C)C(C)(C)O1>>CCn1nccc1C(=O)NC(C(=O)Nc1ccc(Br)c(C)n1)C(C1CC1)C1CC1.CCn1nccc1C(=O)NC(C(=O)Nc1ccc(-c2c(C)nn(COCC[Si](C)(C)C)c2C)c(C)n1)C(C1CC1)C1CC1,"['1000801-22-8', '2755144-79-5']",2755144-80-8,31-614-CAS-31085332,1,1,100,584-08-7,"['109-99-9', '7732-18-5']",Suzuki coupling,N-Heteroaryl and N-aryl amidoamides as small molecule modulators of IL-17,"Andrews, Mark; Soerensen, Morten Dahl; Larsen, Mogens; Devaux, Nicolas;","World Intellectual Property Organization, WO2021250194 A1 2021-12-16",95464-05-4,,,,,
OCc1c[nH]nc1C(F)(F)F,O=Cc1c[nH]nc1C(F)(F)F,OCc1c[nH]nc1C(F)(F)F>>O=Cc1c[nH]nc1C(F)(F)F,1001020-13-8,1001020-14-9,31-480-CAS-15028125,1,1,100,1313-13-9,108-88-3,molecular sieves used,Heterocyclic derivatives,"Gallagher, Michael Gerard; Jamieson, Craig C.; Lyons, Amanda Jane;","United States, US20090131455 A1 2009-05-21",,b) 3-(Trifluoromethyl)-1H-pyrazole-4-carbaldehyde,,,,
Cc1nn(COCC[Si](C)(C)C)c(C)c1B1OC(C)(C)C(C)(C)O1,CCn1nccc1C(=O)NC(C(=O)Nc1cc(F)c(Br)cn1)C(C1CC1)C1CC1.CCn1nccc1C(=O)NC(C(=O)Nc1cc(F)c(-c2c(C)nn(COCC[Si](C)(C)C)c2C)cn1)C(C1CC1)C1CC1,Cc1nn(COCC[Si](C)(C)C)c(C)c1B1OC(C)(C)C(C)(C)O1>>CCn1nccc1C(=O)NC(C(=O)Nc1cc(F)c(Br)cn1)C(C1CC1)C1CC1.CCn1nccc1C(=O)NC(C(=O)Nc1cc(F)c(-c2c(C)nn(COCC[Si](C)(C)C)c2C)cn1)C(C1CC1)C1CC1,"['1000801-22-8', '2755144-75-1']",2755144-76-2,31-614-CAS-31085328,1,1,100,584-08-7,68-12-2,Suzuki coupling,N-Heteroaryl and N-aryl amidoamides as small molecule modulators of IL-17,"Andrews, Mark; Soerensen, Morten Dahl; Larsen, Mogens; Devaux, Nicolas;","World Intellectual Property Organization, WO2021250194 A1 2021-12-16",95464-05-4,,,,,
N[C@H]1c2ccccc2C[C@H]1O,O=C(OCC1c2ccccc2-c2ccccc21)n1cnc([N+](=O)[O-])n1.O=C(N[C@H]1c2ccccc2C[C@H]1O)OCC1c2ccccc2-c2ccccc21,N[C@H]1c2ccccc2C[C@H]1O>>O=C(OCC1c2ccccc2-c2ccccc21)n1cnc([N+](=O)[O-])n1.O=C(N[C@H]1c2ccccc2C[C@H]1O)OCC1c2ccccc2-c2ccccc21,"['126456-43-7', '1001067-08-8']",1001067-21-5,31-363-CAS-1027509,1,1,100,,75-09-2,"alternative reaction conditions shown, alternative reaction conditions","Development of column-free alkoxycarbonyl, aryloxycarbonyl, and acyl","Shimizu, Mamoru; Sodeoka, Mikiko","Heterocycles (2008), 76(2), 1301-1312",,,,,,
COc1ccc(C(C)=O)cc1,CCOC(=O)C(C)(C)Br.CCOC(=O)C(C)(C)C(C)(O)c1ccc(OC)cc1,COc1ccc(C(C)=O)cc1>>CCOC(=O)C(C)(C)Br.CCOC(=O)C(C)(C)C(C)(O)c1ccc(OC)cc1,"['100-06-1', '600-00-0']",408319-04-0,31-320-CAS-5082315,1,1,100,"['7440-66-6', '7487-94-7']","['60-29-7', '71-43-2']",Classification: C-Alkylation; # Conditions: Zn HgCl2; Et2O benzene; Rf 1h,Molecular structure and estrogenic activity. III. Preparation of,"Horeau, Alain; Jacques, Jean","Bulletin de la Societe Chimique de France (1946), 382-5",,,,,,
CC(C)(C)OO,COc1ccc(C(=O)O)cc1.COC(=O)c1ccc(OC)cc1,CC(C)(C)OO>>COc1ccc(C(=O)O)cc1.COC(=O)c1ccc(OC)cc1,"['75-91-2', '100-09-4']",121-98-2,31-614-CAS-26149250,1,1,100,584-08-7,"['75-05-8', '7732-18-5']","solid-supported catalyst, Cu-Pd based nanoparticle complex catalyst",Benign approach for methyl-esterification of oxygenated organic compounds,"Ghosh, Topi; Chandra, Prakash; Mohammad, Akbar; Mobin, Shaikh M.","Applied Catalysis, B: Environmental (2018), 226278-288","['1332-65-6', '7440-05-3']",,,,,
CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1C(=O)OC(C)(C)C,CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1,CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1C(=O)OC(C)(C)C>>CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1,1001319-39-6,1001319-43-2,31-353-CAS-8301506,1,1,100,7647-01-0,"['75-09-2', '123-91-1']",alternate method shown,Preparation of crystalline peptidyl 5-oxazol-2-ylquinoline hydrochloride,"Zhu, Man","World Intellectual Property Organization, WO2009009002 A2 2009-01-15",,"Step 7: To a solution of compound 7 (40.0 g, 0.123 mol) dissolved in",,,,
CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1C(=O)OC(C)(C)C,CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1,CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1C(=O)OC(C)(C)C>>CCOC(=O)[C@@H]1C[C@@H](NC(=O)C2CC2)CN1,1001319-39-6,1001319-43-2,31-353-CAS-14182129,1,1,100,7647-01-0,"['75-09-2', '123-91-1']",alternate solvent and condition shown,Preparation of xinafoate salt of a substituted 5-oxazol-2-yl-quinoline,"Ting, Pauline C.; Lee, Joe F.; Feng, Kung I.; Reeder, Michael R.;","World Intellectual Property Organization, WO2008008327 A2 2008-01-17",,"Step 7: To a solution of compound 7 (40.0 g, 0.123 mol) dissolved in",,,,
C[C@@H]1CC(C)(O)c2ncnc(N3CCN(C(=O)OC(C)(C)C)CC3)c21,CC(C)N(CC(C(=O)O)c1ccc(Cl)cc1)C(=O)OC(C)(C)C.CC(C)N(CC(C(=O)N1CCN(c2ncnc3c2[C@H](C)CC3(C)O)CC1)c1ccc(Cl)cc1)C(=O)OC(C)(C)C,C[C@@H]1CC(C)(O)c2ncnc(N3CCN(C(=O)OC(C)(C)C)CC3)c21>>CC(C)N(CC(C(=O)O)c1ccc(Cl)cc1)C(=O)OC(C)(C)C.CC(C)N(CC(C(=O)N1CCN(c2ncnc3c2[C@H](C)CC3(C)O)CC1)c1ccc(Cl)cc1)C(=O)OC(C)(C)C,"['1001270-91-2', '1000985-05-6']",1001270-93-4,31-363-CAS-8751075,1,2,100,"['7647-01-0', '94790-37-1']","['75-09-2', '123-91-1']",incremental addition of HCl and dioxane,Preparation of cyclopenta[d]pyrimidine derivatives as Akt protein kinase,"Mitchell, Ian S.; Blake, James F.; Xu, Rui; Kallan, Nicholas C.; Xiao,","World Intellectual Property Organization, WO2008006040 A1 2008-01-10",,Step 2: A solution of tert-butyl,,,,
O=[N+]([O-])c1ccccc1,CN(C)c1ccc(C=O)cc1.CN(C)c1ccc(CNc2ccccc2)cc1,O=[N+]([O-])c1ccccc1>>CN(C)c1ccc(C=O)cc1.CN(C)c1ccc(CNc2ccccc2)cc1,"['98-95-3', '100-10-7']",3526-44-1,31-313-CAS-17181590,1,1,100,"['630-08-0', '7732-18-5']",,"green chemistry, high pressure, solid-supported catalyst, nitrogen-doped",One-pot reductive amination of carbonyl compounds with nitro compounds,"Zhou, Peng; Yu, Changlin; Jiang, Liang; Lv, Kangle; Zhang, Zehui","Journal of Catalysis (2017), 352264-273",7440-48-4,,,nitrogen-doped carbon supported,,
O=[N+]([O-])c1ccccc1,CN(C)c1ccc(C=O)cc1.CN(C)c1ccc(CNc2ccccc2)cc1,O=[N+]([O-])c1ccccc1>>CN(C)c1ccc(C=O)cc1.CN(C)c1ccc(CNc2ccccc2)cc1,"['98-95-3', '100-10-7']",3526-44-1,31-313-CAS-18005332,1,1,100,1333-74-0,67-56-1,"green chemistry, high pressure, solid-supported catalyst (nitrogen doped",Environmentally friendly synthesis of secondary amines via one-pot,"Jiang, Liang; Zhou, Peng; Zhang, Zehui; Chi, Quan; Jin, Shiwei","New Journal of Chemistry (2017), 41(20), 11991-11997",7440-48-4,,,nitrogen complex,,
COc1ccc(C(=O)Cl)cc1,CC1(C)c2ccccc2-c2ccccc21.COc1ccc(C(=O)c2ccc3c(c2)C(C)(C)c2ccccc2-3)cc1,COc1ccc(C(=O)Cl)cc1>>CC1(C)c2ccccc2-c2ccccc21.COc1ccc(C(=O)c2ccc3c(c2)C(C)(C)c2ccccc2-3)cc1,"['100-07-2', '4569-45-3']",2138318-95-1,31-091-CAS-18406009,1,2,100,"['7446-70-0', '7647-01-0']","['75-09-2', '7732-18-5']",Friedel-Crafts acylation,Multicolor Photo-Crosslinkable AIEgens toward Compact Nanodots for,"Fang, Xiaofeng; Chen, Xuanze; Li, Rongqin; Liu, Zhihe; Chen, Haobin; Sun,","Small (2017), 13(41), n/a",,,,,,
CCOC(=O)C1(N(NC(=O)OCc2ccccc2)C(=O)OCc2ccccc2)CC(=O)NC1=O,CCOC(=O)C1(N)CC(=O)NC1=O,CCOC(=O)C1(N(NC(=O)OCc2ccccc2)C(=O)OCc2ccccc2)CC(=O)NC1=O>>CCOC(=O)C1(N)CC(=O)NC1=O,1000784-34-8,147194-11-4,31-353-CAS-1791571,1,1,100,1333-74-0,141-78-6,"solid-supported catalyst, alternate reaction gave lower yield","Process for the preparation of 2,5-dioxopyrrolidine-3-carboxylate","Tanaka, Daisuke; Tanaka, Hiroaki","World Intellectual Property Organization, WO2008038646 A1 2008-04-03",12135-22-7,[0053] Example 10: Preparation of ethyl,,,,
CC(=O)OC(C)=O,C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,CC(=O)OC(C)=O>>C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,"['108-24-7', '1001180-40-0']",1001180-15-9,31-545-CAS-13878038,1,1,100,,,alternative preparation gave lower yield,"Combinations of AKT inhibitor compounds and erlotinib, and methods of use","Nannini, Michelle; Sampath, Deepak","World Intellectual Property Organization, WO2012135753 A1 2012-10-04",,"Step 6: Ac2O (77.0 ml, 816 mmol) was added to the N-oxide (21.0 g, 62.8",,,,
CC(=O)OC(C)=O,C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,CC(=O)OC(C)=O>>C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,"['108-24-7', '1001180-40-0']",1001180-15-9,31-545-CAS-14819031,1,1,100,,,alternative preparation shown,"Combinations of Akt inhibitor compounds and chemotherapeutic agents, and","Lin, Kui; Nannini, Michelle; Punnoose, Elizabeth; Sampath, Deepak;","World Intellectual Property Organization, WO2012135781 A1 2012-10-04",,"Step 6: Ac2O (77.0 ml, 816 mmol) was added to the N-oxide (21.0 g, 62.8",,,,
CC(=O)OC(C)=O,C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,CC(=O)OC(C)=O>>C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,"['108-24-7', '1001180-40-0']",1001180-15-9,31-545-CAS-12569571,1,1,100,,,alternative preparation shown,"Combinations of Akt inhibitor compounds and abiraterone, and methods of","Nannini, Michelle; Sampath, Deepak","World Intellectual Property Organization, WO2012135759 A1 2012-10-04",,"Step 6: Ac2O (77.0 ml, 816 mmol) was added to the N-oxide (21.0 g, 62.8",,,,
CC(=O)OC(C)=O,C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,CC(=O)OC(C)=O>>C[C@@H]1CCc2c1c(N1CCN(C(=O)OC(C)(C)C)CC1)nc[n+]2[O-].CC(=O)OC1C[C@@H](C)c2c1ncnc2N1CCN(C(=O)OC(C)(C)C)CC1,"['108-24-7', '1001180-40-0']",1001180-15-9,31-545-CAS-10969758,1,1,100,,,alternative preparation shown,"Combinations of AKT inhibitor compounds and vemurafenib, their","Hoeflich, Klaus; Merchant, Mark","World Intellectual Property Organization, WO2012135750 A1 2012-10-04",,"Step 6: Ac2O (77.0 ml, 816 mmol) was added to the N-oxide (21.0 g, 62.8",,,,
CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](Oc2ccnc3ccc(C)cc23)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,Cc1ccc2nccc(O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)c2c1,CC(=O)OC[C@H]1O[C@@H](OC(C)=O)[C@H](Oc2ccnc3ccc(C)cc23)[C@@H](OC(C)=O)[C@@H]1OC(C)=O>>Cc1ccc2nccc(O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]3O)c2c1,1000589-72-9,1000589-78-5,31-352-CAS-17159724,1,1,100,39339-85-0,67-56-1,Amberlyst A 26 resin in OH- form used,"4-Hydroxyquinoline glucosides, and antimalarial agents containing them","Suzuki, Hiroshi","Japan, JP2008001630 A 2008-01-10",,,,,,
C[Si](C)(C)CCOC(=O)NCc1ccc(CN)cc1,CC(C)(C)OC(=O)N(Cc1ccc(C=O)cc1)Cc1ccc(CN(Cc2ccc(C=O)cc2)C(=O)OC(C)(C)C)cc1.CC(C)(C)OC(=O)N(Cc1ccc(C=NCc2ccc(CNC(=O)OCC[Si](C)(C)C)cc2)cc1)Cc1ccc(CN(Cc2ccc(C=NCc3ccc(CNC(=O)OCC[Si](C)(C)C)cc3)cc2)C(=O)OC(C)(C)C)cc1,C[Si](C)(C)CCOC(=O)NCc1ccc(CN)cc1>>CC(C)(C)OC(=O)N(Cc1ccc(C=O)cc1)Cc1ccc(CN(Cc2ccc(C=O)cc2)C(=O)OC(C)(C)C)cc1.CC(C)(C)OC(=O)N(Cc1ccc(C=NCc2ccc(CNC(=O)OCC[Si](C)(C)C)cc2)cc1)Cc1ccc(CN(Cc2ccc(C=NCc3ccc(CNC(=O)OCC[Si](C)(C)C)cc3)cc2)C(=O)OC(C)(C)C)cc1,"['1000297-54-0', '1000297-74-4']",1166847-49-9,31-309-CAS-3257054,1,1,100,,108-88-3,Dean-Stark apparatus used,Efficient Preparation of Separable Pseudo[n]rotaxanes by Selective,"Yin, Jun; Chi, Chunyan; Wu, Jishan","Chemistry - A European Journal (2009), 15(24), 6050-6057,",,,,,,
OB(O)c1cccc2c1oc1ccccc12,O=C(O)Cc1cc(I)ccc1C(=O)O.O=C(O)Cc1cc(-c2cccc3c2oc2ccccc23)ccc1C(=O)O,OB(O)c1cccc2c1oc1ccccc12>>O=C(O)Cc1cc(I)ccc1C(=O)O.O=C(O)Cc1cc(-c2cccc3c2oc2ccccc23)ccc1C(=O)O,"['100124-06-9', '1354742-59-8']",1354742-90-7,31-179-CAS-943597,1,2,100,"['584-08-7', '7647-01-0']","['64-17-5', '7732-18-5']","microwave irradiation, thermal, Suzuki coupling","The design, synthesis and biological evaluations of C-6 or C-7","Chen, Yue-Lei; Tang, Jing; Kesler, Matthew J.; Sham, Yuk Y.; Vince,","Bioorganic & Medicinal Chemistry (2012), 20(1), 467-479",14221-01-3,,,,,
O=[N+]([O-])c1ccc(CBr)cc1,Cc1cccc(O)c1.Cc1cccc(OCc2ccc([N+](=O)[O-])cc2)c1,O=[N+]([O-])c1ccc(CBr)cc1>>Cc1cccc(O)c1.Cc1cccc(OCc2ccc([N+](=O)[O-])cc2)c1,"['100-11-8', '108-39-4']",174840-48-3,31-008-CAS-16159056,1,1,100,,,"15--1 SEC, HYDROXIDE",Research progress on the glia cell line-derived neurotrophic factor,"Wang, You; Xu, Guoheng; Ma, Duanduan; Wang, Xiaomin; Han, Jisheng","Shengli Kexue Jinzhan (1996), 27(4), 301-306",,,,,,
c1ccncc1,CC#N[Ru+2]123(N4=CC=CC=C4C4=CC(c5cccc(-c6ccc(OC)cc6)c5)=CC(=N41)C1=CC=CC=N12)N1=CC(c2ccc(OC)cc2)=Cc2ccc4c(c21)N3=C(c1c(C)cc(C)cc1C)C=C4.[F-][P+5]([F-])([F-])([F-])([F-])[F-].COc1ccc(C2=Cc3ccc4c5c3N(=C2)[Ru+2]23(N6=CC=CC=C6)(N6=CC=CC=C6C6=CC(c7cccc(-c8ccc(OC)cc8)c7)=CC(=N62)C2=CC=CC=N23)N5=C(c2c(C)cc(C)cc2C)C=C4)cc1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],c1ccncc1>>CC#N[Ru+2]123(N4=CC=CC=C4C4=CC(c5cccc(-c6ccc(OC)cc6)c5)=CC(=N41)C1=CC=CC=N12)N1=CC(c2ccc(OC)cc2)=Cc2ccc4c(c21)N3=C(c1c(C)cc(C)cc1C)C=C4.[F-][P+5]([F-])([F-])([F-])([F-])[F-].COc1ccc(C2=Cc3ccc4c5c3N(=C2)[Ru+2]23(N6=CC=CC=C6)(N6=CC=CC=C6C6=CC(c7cccc(-c8ccc(OC)cc8)c7)=CC(=N62)C2=CC=CC=N23)N5=C(c2c(C)cc(C)cc2C)C=C4)cc1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],"['110-86-1', '1001010-87-2']",1002760-91-9,31-562-CAS-4946108,1,2,100,17084-13-8,"['110-86-1', '7732-18-5']","photochemical, stereoselective, 1000W xenon arc lamp used, alternative",Light-Induced Geometrical Changes in Acyclic Ruthenium(II) Complexes and,"Bonnet, Sylvestre; Collin, Jean-Paul; Sauvage, Jean-Pierre","Inorganic Chemistry (2007), 46(25), 10520-10533",,Photochemical Preparation. A 64 mg (51 μmol) amount of 9[PF6]2 (either,,,,
NCC(=O)c1ccc(Br)cc1,COc1ccc(C(=O)Cl)cc1.COc1ccc(-c2ncc(-c3ccc(Br)cc3)o2)cc1,NCC(=O)c1ccc(Br)cc1>>COc1ccc(C(=O)Cl)cc1.COc1ccc(-c2ncc(-c3ccc(Br)cc3)o2)cc1,"['7644-04-4', '100-07-2']",853656-44-7,31-574-CAS-5346332,1,3,100,"['7087-68-5', '106116-38-5', '76-05-1']","['75-09-2', '110-71-4']","combinatorial, solid-supported reaction, first stage is attachment to",Trifluoroacetic Anhydride-Mediated Solid-Phase Version of the,"Pulici, Maurizio; Quartieri, Francesca; Felder, Eduard R.","Journal of Combinatorial Chemistry (2005), 7(3), 463-473",,General/Typical Procedure: Via Phenacylamines. General Procedure.,polystyrene-bound,,,
C1CCN(C2CCNCC2)C1,O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1)N1CCC(N2CCCC2)CC1,C1CCN(C2CCNCC2)C1>>O=C(Oc1ccc([N+](=O)[O-])cc1)OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1.O=C(OC1([C@H]2CCC[C@@H](c3cccc(F)c3)N2S(=O)(=O)c2ccc(F)c(F)c2)CC1)N1CCC(N2CCCC2)CC1,"['5004-07-9', '1000811-12-0']",1000810-17-2,31-368-CAS-3297791,1,2,100,"['100-52-7', '505097-38-1']","['67-56-1', '107-06-2']","combinatorial, solid-supported reagent, PS-NCO resin and PS-benzaldehyde",Solution-Phase Parallel Synthesis of Carbamates as γ-Secretase Inhibitors,"Vaccaro, Henry A.; Zhao, Zhiqiang; Clader, John W.; Song, Lixin;","Journal of Combinatorial Chemistry (2008), 10(1), 56-62",,General/Typical Procedure: Synthesis of Library 3. Set-up of Reactions.:,polystyrene supported,,,
CCc1ccc([N+](=O)[O-])cc1,CCC1CCC(N)CC1,CCc1ccc([N+](=O)[O-])cc1>>CCC1CCC(N)CC1,100-12-9,42195-97-1,31-614-CAS-35736724,1,1,100,1333-74-0,109-99-9,"high pressure, solid-supported catalyst, air-exfoliated carbon nitride",Sequential hydrogenation of nitroaromatics to alicyclic amines via,"Wu, Jiale; Wang, Liguo; Xu, Shuang; Cao, Yan; Han, Ziqiang; Li, Huiquan","RSC Advances (2023), 13(3), 2024-2035","['7440-05-3', '7440-18-8', '143334-20-7']",,,,,
CC1CNCCO1,COC(=O)Cc1ccc(OCCBr)cc1.COC(=O)Cc1ccc(OCCN2CCOC(C)C2)cc1,CC1CNCCO1>>COC(=O)Cc1ccc(OCCBr)cc1.COC(=O)Cc1ccc(OCCN2CCOC(C)C2)cc1,"['27550-90-9', '100125-95-9']",2978809-76-4,31-614-CAS-37931033,1,1,100,584-08-7,75-05-8,alternate agent (Cs2CO3) may be used,Preparation of,"Balassa, Annamaria; Brough, Paul Andrew; Claperon, Audrey; Demarles,","World Intellectual Property Organization, WO2023161317 A1 2023-08-31",,,,,,
COc1ccc(C(C)=O)cc1,N#C/C(=C\C(=O)c1ccccc1)c1ccccc1.COc1ccc(C(=O)CC2(c3ccccc3)C=C(c3ccccc3)C(=O)N2)cc1,COc1ccc(C(C)=O)cc1>>N#C/C(=C\C(=O)c1ccccc1)c1ccccc1.COc1ccc(C(=O)CC2(c3ccccc3)C=C(c3ccccc3)C(=O)N2)cc1,"['100-06-1', '104386-86-9']",1076207-03-8,31-300-CAS-9676147,1,2,100,7732-18-5,107-06-2,dropwise addn. of water,Copper-catalyzed Addition Reactions of Aromatics and Ketones to,"Murai, Masahito; Miki, Koji; Ohe, Kouichi","Journal of Organic Chemistry (2008), 73(22), 9174-9176",34946-82-2,General/Typical Procedure: General Procedure for Copper-Catalyzed,,,,
CN(C)c1ccc(C=O)cc1,CCCCCCOc1ccc(C(=O)NN)cc1.CCCCCCOc1ccc(C(=O)NN=Cc2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(C=O)cc1>>CCCCCCOc1ccc(C(=O)NN)cc1.CCCCCCOc1ccc(C(=O)NN=Cc2ccc(N(C)C)cc2)cc1,"['100-10-7', '64328-63-8']",876522-84-8,31-310-CAS-16690104,1,1,100,,64-17-5,literature preparation,Structural evaluation and antibacterial sensitivity of iron(III),"Al-Amin-Al-Azadul Islam, M.; Mumit, M. A.; Pal, T. K.; Alam, M. A.","Journal of Scientific Research (Rajshahi, Bangladesh) (2012), 4(3),",,,,,,
