Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:EXP_PROC,RXN:PRO:AMD,RXN:VAR:CAT:AMD,RXN:VAR:SOL:AMD,RXN:RCT:AMD,RXN:VAR:RGT:AMD
NC1CCCC1,O=C(O)Cn1ccc(-c2ccc(OCCNC(=O)OCc3ccccc3)cc2)n1.O=C(Cn1ccc(-c2ccc(OCCNC(=O)OCc3ccccc3)cc2)n1)NC1CCCC1,NC1CCCC1>>O=C(O)Cn1ccc(-c2ccc(OCCNC(=O)OCc3ccccc3)cc2)n1.O=C(Cn1ccc(-c2ccc(OCCNC(=O)OCc3ccccc3)cc2)n1)NC1CCCC1,"['1003-03-8', '595544-57-3']",595544-58-4,31-367-CAS-1713883,1,1,100,"['7087-68-5', '25952-53-8', '123333-53-9']",75-09-2,key intermediate,Preparation of pyridylethylaminoethoxyphenylazoleacetamides as,"Lafontaine, Jennifer Anne; Morgan, Bradley Paul","World Intellectual Property Organization, WO2003072572 A1 2003-09-04",,,,,,,
O=C(O)c1ccc(C(=O)O)cc1,c1cc(-c2nc(-c3ccncc3)nc(-c3ccncc3)n2)ccn1.O=C([O-])c1ccc(C2=O[Cr+3]3[O-]C(c4ccc(C(=O)[O-])cc4)=O[Cr+3]4(N5=CC=C(c6nc(-c7ccncc7)nc(-c7ccncc7)n6)C=C5)[O-]C(c5ccc(C(=O)[O-])cc5)=O[Cr+3]([O-]2)[O-2]34)cc1.O=[N+]([O-])[O-],O=C(O)c1ccc(C(=O)O)cc1>>c1cc(-c2nc(-c3ccncc3)nc(-c3ccncc3)n2)ccn1.O=C([O-])c1ccc(C2=O[Cr+3]3[O-]C(c4ccc(C(=O)[O-])cc4)=O[Cr+3]4(N5=CC=C(c6nc(-c7ccncc7)nc(-c7ccncc7)n6)C=C5)[O-]C(c5ccc(C(=O)[O-])cc5)=O[Cr+3]([O-]2)[O-2]34)cc1.O=[N+]([O-])[O-],"['100-21-0', '42333-78-8']",2920606-36-4,31-614-CAS-36112348,1,1,100,13548-38-4,,"green chemistry, solid state, sealed autoclave used,optimization study",Solvent-free Synthesis of Multi-Module Pore-Space-Partitioned,"Xiao, Yuchen; Chen, Yichong; Hong, Anh N.; Bu, Xianhui; Feng, Pingyun","Angewandte Chemie, International Edition (2023), 62(14), e202300721",,,,,,,
N=C(N)NCc1cc(-c2ccccc2)c(CNC(=N)N)cc1-c1ccccc1.O=C(O)C(F)(F)F,Cl.N=C(N)NCc1cc(-c2ccccc2)c(CNC(=N)N)cc1-c1ccccc1,N=C(N)NCc1cc(-c2ccccc2)c(CNC(=N)N)cc1-c1ccccc1.O=C(O)C(F)(F)F>>Cl.N=C(N)NCc1cc(-c2ccccc2)c(CNC(=N)N)cc1-c1ccccc1,1002556-72-0,1002556-67-3,31-575-CAS-6164386,1,1,100,7647-01-0,"['67-56-1', '123-91-1']",repeated,A Terphenyl Scaffold for π-Stacked Guanidinium Recognition Elements,"Wang, Xing; Sarycheva, Olga V.; Koivisto, Bryan D.; McKie, Aaron H.; Hof,","Organic Letters (2008), 10(2), 297-300",,"trifluoroacetate salt as a white powder (89 mg, 72%). Repeated treatment",,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,CC=C[Mg]Br.CC=CC(C)(O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>CC=C[Mg]Br.CC=CC(C)(O)c1ccc([N+](=O)[O-])cc1,"['100-19-6', '14092-04-7']",2236056-77-0,31-320-CAS-19451357,1,3,100,7647-01-0,"['109-99-9', '7732-18-5']",Grignard reaction,Chemo-Enzymatic Oxidative Rearrangement of Tertiary Allylic Alcohols:,"Brenna, Elisabetta; Crotti, Michele; De Pieri, Matteo; Gatti, Francesco","Advanced Synthesis & Catalysis (2018), 360(19), 3677-3686",,,,,,,
OCc1ccc(Cl)c(B(O)O)c1,Brc1ccc(COC2CCCCO2)nc1.OCc1ccc(Cl)c(-c2ccc(COC3CCCCO3)nc2)c1,OCc1ccc(Cl)c(B(O)O)c1>>Brc1ccc(COC2CCCCO2)nc1.OCc1ccc(Cl)c(-c2ccc(COC3CCCCO3)nc2)c1,"['1003042-59-8', '1097210-28-0']",1448643-45-5,31-179-CAS-11523401,1,1,100,497-19-8,"['68-12-2', '7732-18-5']",Suzuki coupling,Preparation of β-substituted carboxylic acid derivatives for the,"Fukusaki, Takehiro; Takano, Daisuke; Inoue, Masahiro; Okawa, Nobuyuki;","Japan, JP2013147443 A 2013-08-01",14221-01-3,,,,,,
OB(O)c1ccc(Cl)c(Cl)c1,COC(=O)c1cc(S(=O)(=O)Nc2ccc(Br)nc2)ccc1C.Cc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(Cl)c(Cl)c3)nc2)cc1C(=O)O,OB(O)c1ccc(Cl)c(Cl)c1>>COC(=O)c1cc(S(=O)(=O)Nc2ccc(Br)nc2)ccc1C.Cc1ccc(S(=O)(=O)Nc2ccc(-c3ccc(Cl)c(Cl)c3)nc2)cc1C(=O)O,"['151169-75-4', '1002361-51-4']",946493-03-4,31-179-CAS-5805612,1,1,100,584-08-7,"['64-17-5', '7732-18-5']","microwave irradiation, Suzuki coupling",Preparation of substituted phenylsulfamoyl compounds as PPAR agonists,"Hamanaka, Ernest Seiichi","World Intellectual Property Organization, WO2007091140 A1 2007-08-16",391683-95-7,General/Typical Procedure: EXAMPLE 69,,,,,
Brc1cccs1,C=CC(O)CCCCC.CCCCCC(=O)CCc1cccs1,Brc1cccs1>>C=CC(O)CCCCC.CCCCCC(=O)CCc1cccs1,"['1003-09-4', '3391-86-4']",733773-19-8,31-177-CAS-2149056,1,1,100,584-08-7,68-12-2,Heck reaction,Heck reactions of aryl bromides with alk-1-en-3-ol derivatives catalyzed,"Berthiol, Florian; Doucet, Henri; Santelli, Maurice","Tetrahedron Letters (2004), 45(29), 5633-5636","['12012-95-2', '333380-86-2']",,,,,,
CCCC(CC(=O)CP(=O)(OC)OC)O[Si](C)(C)C(C)(C)C,COC(=O)c1ccc(CCC[C@@H]2[C@@H](C=O)[C@H](OC3CCCCO3)C[C@H]2Cl)s1.CCCC(CC(=O)/C=C/[C@@H]1[C@@H](CCCc2ccc(C(=O)OC)s2)[C@H](Cl)C[C@H]1OC1CCCCO1)O[Si](C)(C)C(C)(C)C,CCCC(CC(=O)CP(=O)(OC)OC)O[Si](C)(C)C(C)(C)C>>COC(=O)c1ccc(CCC[C@@H]2[C@@H](C=O)[C@H](OC3CCCCO3)C[C@H]2Cl)s1.CCCC(CC(=O)/C=C/[C@@H]1[C@@H](CCCc2ccc(C(=O)OC)s2)[C@H](Cl)C[C@H]1OC1CCCCO1)O[Si](C)(C)C(C)(C)C,"['1706568-39-9', '1001422-62-3']",1706568-50-4,31-339-CAS-6631174,1,3,100,"['7646-69-7', '12125-02-9']","['109-99-9', '7732-18-5']",Horner-Wadsworth-Emmons olefination,Preparation of cyclopentanol prostaglandin analogs that are selective EP2,"Burk, Robert M.; Gac, Todd S.","United States, US20150119454 A1 2015-04-30",,,,,,,
O=C1CCCS1,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCN)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCNC(=O)CCCS)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=C1CCCS1>>CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCN)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](CC3CCCCC3)C(=O)O)[C@@H](O)[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](OCCCNC(=O)CCCS)O[C@@H]3CO)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,"['1003-10-7', '2848650-00-8']",2848650-08-6,31-614-CAS-34909022,1,1,100,121-44-8,67-56-1,product further derivatized,Anti-gm1 antibody binding compounds,"Boilevin, Jeremy; Pang, Lijuan; Haenggi, Pascal; Herrendorff, Ruben;","World Intellectual Property Organization, WO2022224035 A2 2022-10-27",,,,,,,
COc1cc(C=O)ccc1O,CCCCCCCCCCCCCCCCOC(=O)CC(=O)O.CCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1,COc1cc(C=O)ccc1O>>CCCCCCCCCCCCCCCCOC(=O)CC(=O)O.CCCCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1,"['121-33-5', '1002-58-0']",158306-36-6,31-333-CAS-14625827,1,2,100,"['110-86-1', '7647-01-0']","['110-86-1', '7732-18-5']","stereoselective, Verley-Doebner modification of Knoevenagel condensation",Synthesis and antioxidant activity of long chain alkyl hydroxycinnamates,"Menezes, Jose C. J. M. D. S.; Kamat, Shrivallabh P.; Cavaleiro, Jose A.","European Journal of Medicinal Chemistry (2011), 46(2), 773-777",107-95-9,,,,,,
CC(=O)N(Cc1ccccc1)N=C(C)C,NNCc1ccccc1,CC(=O)N(Cc1ccccc1)N=C(C)C>>NNCc1ccccc1,100253-27-8,555-96-4,31-353-CAS-2688133,1,1,100,7647-01-0,,Classification: Hydrolysis; N-Dealkylation; N-Deacylation; # Conditions:,Reactions of hydrazine derivatives. XVI. Action of benzyl chloride on,"Kost, A. N.; Sagitullin, R. S.","Zhurnal Obshchei Khimii (1957), 273338-42",,,,,,,
CCO,Cc1cc(CNC(=O)CCl)ccc1OC(C)(C)C(=O)O.CCOC(=O)C(C)(C)Oc1ccc(CN)cc1C,CCO>>Cc1cc(CNC(=O)CCl)ccc1OC(C)(C)C(=O)O.CCOC(=O)C(C)(C)Oc1ccc(CN)cc1C,"['64-17-5', '1001328-03-5']",343322-78-1,31-353-CAS-3597330,1,2,100,"['7664-93-9', '1310-73-2']","['64-17-5', '7732-18-5']","pilot-plant, scalable","Development of a scalable synthesis of GSK-183390A, a PPAR α/γ agonist","Oh, Lynette M.; Wang, Huan; Shilcrat, Susan C.; Herrmann, Robert E.;","Organic Process Research & Development (2007), 11(6), 1032-1042",,"Amide 48 (23.6 kg, 78.7 mol) was dissolved in EtOH/H2SO4 (94.4 L/11.8 L),",,,,,
O=[N+]([O-])c1ccc(CCl)cc1,COc1ccc(B(O)O)cc1.COc1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1,O=[N+]([O-])c1ccc(CCl)cc1>>COc1ccc(B(O)O)cc1.COc1ccc(Cc2ccc([N+](=O)[O-])cc2)cc1,"['100-14-1', '5720-07-0']",22865-59-4,31-179-CAS-13804303,1,1,100,584-08-7,1330-20-7,"Suzuki cross-coupling, 7% of homocoupling of 4-nitrobenzylchloride was",Suzuki cross-coupling reaction of benzylic halides with arylboronic acids,"Chahen, Ludovic; Doucet, Henri; Santelli, Maurice","Synlett (2003), (11), 1668-1672","['12012-95-2', '333380-86-2']","General/Typical Procedure: As a typical experiment, the reaction of",,,,,
c1c[nH]cn1,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[OH-].CCCCCCCCCCCCCCCC[N+](C)(C)CC.c1c[n-]cn1,c1c[nH]cn1>>CCCCCCCCCCCCCCCC[N+](C)(C)CC.[OH-].CCCCCCCCCCCCCCCC[N+](C)(C)CC.c1c[n-]cn1,"['288-32-4', '100173-89-5']",2245138-83-2,31-575-CAS-22102314,1,1,100,,"['64-17-5', '7732-18-5']","ionic liquid used (reactant), product is an ionic liquid",Switchable oil-water phase separation of ionic liquid-based,"Pei, Xiaoyan; Xiong, Dazhen; Pei, Yuanchao; Wang, Huiyong; Wang, Jianji","Green Chemistry (2018), 20(18), 4236-4244",,,,,,,
O=C=Nc1ccc([N+](=O)[O-])cc1,Cc1cccnc1-c1cccc2c1C(=O)C(=O)N2C.Cc1cccnc1-c1cccc2c1n(-c1ccc([N+](=O)[O-])cc1)c(=O)n2C,O=C=Nc1ccc([N+](=O)[O-])cc1>>Cc1cccnc1-c1cccc2c1C(=O)C(=O)N2C.Cc1cccnc1-c1cccc2c1n(-c1ccc([N+](=O)[O-])cc1)c(=O)n2C,"['100-28-7', '1644629-08-2']",1846563-38-9,31-614-CAS-29876133,1,1,100,,123-91-1,"thermal, sealed vial used",Efficient Benzimidazolidinone Synthesis via Rhodium-Catalyzed,"Zeng, Rong; Chen, Peng-hao; Dong, Guangbin","ACS Catalysis (2016), 6(2), 969-973","['603-32-7', '12092-47-6']",,,,,,
CC(=O)c1ccc([N+](=O)[O-])cc1,C=Cc1ccc(N)cc1,CC(=O)c1ccc([N+](=O)[O-])cc1>>C=Cc1ccc(N)cc1,100-19-6,1520-21-4,31-614-CAS-40044075,1,1,100,16940-66-2,7732-18-5,"catalyst prepared and used, reusable catalyst",Facile Cu-MOF-derived Co3O4 mesoporous-structure as a cooperative,"Malmir, Masoume; Heravi, Majid M.; Shafiei Toran Poshti, Elham","Scientific Reports (2024), 14(1), 6846","['70-47-3', '142-71-2', '1308-06-1', '1034343-98-0']",,,"['reaction produts with copper acetate and graphene oxide', 'oxide, reaction produts with copper acetate and asparagine']",,,
O=C(Cl)c1ccc(C(=O)Cl)cc1,NNC(=O)c1ccc(C(=O)NN)cc1.NNC(=O)c1ccc(C(=O)NN)cc1.O=C(Cl)c1ccc(C(=O)Cl)cc1,O=C(Cl)c1ccc(C(=O)Cl)cc1>>NNC(=O)c1ccc(C(=O)NN)cc1.NNC(=O)c1ccc(C(=O)NN)cc1.O=C(Cl)c1ccc(C(=O)Cl)cc1,"['100-20-9', '136-64-1']",29695-95-2,31-614-CAS-28260897,1,1,100,,872-50-4,incremental addition of reactant in substage 1,Intramolecular charge transfer induced by deprotonation of hydroxyl,"Yamaguchi, Isao; Mitsuno, Hidehito","Reactive & Functional Polymers (2011), 71(2), 140-147",,,,,,,
CO,CCCCCC/C=C/CCCCCCCC(=O)O.CCCCCC/C=C/CCCCCCCC(=O)OC,CO>>CCCCCC/C=C/CCCCCCCC(=O)O.CCCCCC/C=C/CCCCCCCC(=O)OC,"['67-56-1', '10030-73-6']",10030-74-7,31-356-CAS-10204176,1,1,100,,67-56-1,"combinatorial, high pressure, microwave irradiation ((850W to reach set",High-Throughput Experimentation Platform: Parallel Microwave Chemistry in,"Damm, Markus; Kappe, C. Oliver","Journal of Combinatorial Chemistry (2009), 11(3), 460-468",7637-07-2,"General/Typical Procedure: Fatty Acid Esterification (GC-Derivatization,",,,,,
CC(=O)N(C=C1Sc2ccccc2C1=O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2,CC(=O)Oc1c(C=Nc2ccc3c(c2)OCCOCCOCCOCCOCCO3)sc2ccccc12,CC(=O)N(C=C1Sc2ccccc2C1=O)c1ccc2c(c1)OCCOCCOCCOCCOCCO2>>CC(=O)Oc1c(C=Nc2ccc3c(c2)OCCOCCOCCOCCOCCO3)sc2ccccc12,1003011-75-3,1003011-81-1,31-614-CAS-28984731,1,1,100,,75-05-8,"photochemical, high-pressure mercury lamp used",Photochromic crown-containing molecular switches of chemosensor activity,"Bren, Vladimir A.; Dubonosov, Alexander D.; Minkin, Vladimir I.;","Journal of Physical Organic Chemistry (2007), 20(11), 917-928",,,,,complexes with Ba or Ca ions,,
O=C1CCCS1,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCN)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCNC(=O)CCCS)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,O=C1CCCS1>>CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCN)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O.CC(=O)N[C@H]1[C@H](O[C@@H]2[C@H](O[C@@H](C)C(=O)O)[C@@H](O)[C@H](Oc3ccc(CCNC(=O)CCCS)cc3)O[C@@H]2CO)O[C@H](CO)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,"['1003-10-7', '2848649-88-5']",2848650-07-5,31-614-CAS-34909014,1,1,100,121-44-8,67-56-1,product further derivatized,Anti-gm1 antibody binding compounds,"Boilevin, Jeremy; Pang, Lijuan; Haenggi, Pascal; Herrendorff, Ruben;","World Intellectual Property Organization, WO2022224035 A2 2022-10-27",,,,,,,
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1.CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)OCC2c3ccccc3-c3ccccc32)C(N)=O)cc1,NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21>>CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1.CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)OCC2c3ccccc3-c3ccccc32)C(N)=O)cc1,"['1001437-58-6', '1258457-59-8']",2379621-08-4,31-614-CAS-35951080,1,1,100,"['109-02-4', '3140-73-6', '7782-44-7']",67-68-5,"amine reactant, CDMT and NMM were added additionally after 30",Self-assembling nanoparticles based on amphiphilic peptides for drug,"Lynn, Geoffrey M.; Zhu, Yaling; Nichols, Sarah R.; Ren, Qiuyin; Ishizuka,","World Intellectual Property Organization, WO2022266340 A1 2022-12-22",,,,,,,
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1.CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)OCC2c3ccccc3-c3ccccc32)C(N)=O)cc1,NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21>>CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1.CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)OCC2c3ccccc3-c3ccccc32)C(N)=O)cc1,"['1001437-58-6', '1258457-59-8']",2379621-08-4,31-614-CAS-26621778,1,1,100,"['109-02-4', '3140-73-6']",67-68-5,incremental addition of agents and amine reactant,Aromatic ring substituted amphiphilic polymers as drug delivery systems,"Lynn, Geoffrey; Zhu, Yaling; Nichols, Sarah; Ishizuka, Andrew","World Intellectual Property Organization, WO2020072681 A1 2020-04-09",,,,,,,
NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21,CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1.CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)OCC2c3ccccc3-c3ccccc32)C(N)=O)cc1,NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21>>CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CN)cc1.CCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccc(CNC(=O)CC[C@H](NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)[C@H](CCC(=O)NCc2ccc(Cn3c(CCCC)nc4c(N)nc5ccccc5c43)cc2)NC(=O)OCC2c3ccccc3-c3ccccc32)C(N)=O)cc1,"['1001437-58-6', '1258457-59-8']",2379621-08-4,31-367-CAS-22858103,1,1,100,"['109-02-4', '3140-73-6']",67-68-5,incremental addition of agents and reactant,"Peptide antigen conjugate vaccines, methods of manufacturing, and uses","Lynn, Geoffrey; Ishizuka, Andrew","World Intellectual Property Organization, WO2018187515 A1 2018-10-11",,,,,,,
OB(O)c1ccc(OC(F)(F)F)cc1,CC(=O)SCc1cc(CSC(C)=O)cc(-c2ccc(Br)cc2)c1.CC(=O)SCc1cc(CSC(C)=O)cc(-c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)c1,OB(O)c1ccc(OC(F)(F)F)cc1>>CC(=O)SCc1cc(CSC(C)=O)cc(-c2ccc(Br)cc2)c1.CC(=O)SCc1cc(CSC(C)=O)cc(-c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)c1,"['139301-27-2', '1002327-84-5']",1002327-89-0,31-179-CAS-12676903,1,1,100,7778-53-2,108-88-3,Suzuki coupling,Synthesis of S-Acetyl Oligoarylenedithiols via Suzuki-Miyaura,"Operamolla, Alessandra; Omar, Omar Hassan; Babudri, Francesco; Farinola,","Journal of Organic Chemistry (2007), 72(26), 10272-10275","['3375-31-3', '657408-07-6']",General/Typical Procedure: Representative Procedure for the Synthesis of,,,,,
NC1CCCC1,O=C(Cl)c1ccccc1Br.O=C(NC1CCCC1)c1ccccc1Br,NC1CCCC1>>O=C(Cl)c1ccccc1Br.O=C(NC1CCCC1)c1ccccc1Br,"['1003-03-8', '7154-66-7']",326899-55-2,31-365-CAS-19715576,1,1,100,121-44-8,75-09-2,Schotten-Baumann reaction,Electrophilic Activation of Amides for the Preparation of Polysubstituted,"Stopka, Tobias; Adler, Pauline; Hagn, Gerhard; Zhang, Haoqi; Tona,","Synthesis (2019), 51(1), 194-202",,,,,,,
COc1nncc2c1C1c3ccccc3C2c2ccccc21,O=c1[nH]ncc2c1C1c3ccccc3C2c2ccccc21,COc1nncc2c1C1c3ccccc3C2c2ccccc21>>O=c1[nH]ncc2c1C1c3ccccc3C2c2ccccc21,1001639-93-5,1001639-95-7,31-049-CAS-12319224,1,2,100,"['10035-10-6', '127-09-3']","['64-19-7', '7732-18-5']","safety, violent release of gases (HBr, MeBr) occurs on warming the",Iptycene-Derived Pyridazines and Phthalazines,"Bouffard, Jean; Eaton, Robert F.; Mueller, Peter; Swager, Timothy M.","Journal of Organic Chemistry (2007), 72(26), 10166-10180",,"9,10-Dihydro-9,10-[1',2']benzeno-2,3-diazaanthracene-(3H)-one (29)",,,,,
CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C,COC(=O)[C@@H](OC(C)(C)C)c1c(C)ccc(OCc2ccccc2)c1Br.COC(=O)[C@@H](OC(C)(C)C)c1c(C)ccc(OCc2ccccc2)c1-c1ccc2c(c1)CCCO2,CC1(C)OB(c2ccc3c(c2)CCCO3)OC1(C)C>>COC(=O)[C@@H](OC(C)(C)C)c1c(C)ccc(OCc2ccccc2)c1Br.COC(=O)[C@@H](OC(C)(C)C)c1c(C)ccc(OCc2ccccc2)c1-c1ccc2c(c1)CCCO2,"['1002727-88-9', '1643877-06-8']",1643877-07-9,31-179-CAS-7767523,1,1,100,123-91-1,"['123-91-1', '7732-18-5']","thermal, sealed tube used","Inhibitors of viral replication, their process of preparation and their","Ledoussal, Benoit; Le Strat, Frederic; Chasset, Sophie; Barbion, Julien;","World Intellectual Property Organization, WO2015001125 A1 2015-01-08",14221-01-3,,,,,,
