Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:RGT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:CAT:CAS_RN,RXN:VAR:CAT:AMD,RXN:PRO:AMD,RXN:VAR:RGT:AMD
CC(C)(C)[Si](C)(C)OC/C=C/c1ccccc1,CC(C)(C)[Si](C)(C)OCCCc1ccccc1,CC(C)(C)[Si](C)(C)OC/C=C/c1ccccc1>>CC(C)(C)[Si](C)(C)OCCCc1ccccc1,100009-29-8,69404-95-1,31-242-CAS-6579840,1,1,100,1333-74-0,67-56-1,,"chemoselective, solid-supported catalyst, palladium supported on ceramic",Unique Chemoselective Hydrogenation using a Palladium Catalyst,"Monguchi, Yasunari; Marumoto, Takahisa; Ichikawa, Tomohiro; Miyake,","ChemCatChem (2015), 7(14), 2155-2160",7440-05-3,,,
Nc1ccc([N+](=O)[O-])cc1,O=C(Cl)Oc1ccc([N+](=O)[O-])cc1.O=C(Nc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,Nc1ccc([N+](=O)[O-])cc1>>O=C(Cl)Oc1ccc([N+](=O)[O-])cc1.O=C(Nc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,"['100-01-6', '7693-46-1']",50686-13-0,31-522-CAS-15180177,1,1,100,,,,no experimental detail,"Substituted isoquinoline-1,3(2H,4H)-diones,","Tsou, Hwei-Ru; Ayral-Kaloustian, Semiramis; Birnberg, Gary Harold; Floyd,","United States, US7713994 B2 2010-05-11",,,,
O=[N+]([O-])c1ccc(Cl)cc1,OB(O)c1cccc2c1oc1ccccc12.O=[N+]([O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>OB(O)c1cccc2c1oc1ccccc12.O=[N+]([O-])c1ccc(-c2cccc3c2oc2ccccc23)cc1,"['100-00-5', '100124-06-9']",578027-20-0,31-179-CAS-17371446,1,1,100,534-17-8,127-19-5,,solid-supported catalyst (palladium supported on an anion exchange resin,Development of a Unique Heterogeneous Palladium Catalyst for the,"Ichikawa, Tomohiro; Netsu, Moeko; Mizuno, Masahiro; Mizusaki, Tomoteru;","Advanced Synthesis & Catalysis (2017), 359(13), 2269-2279",7440-05-3,WA30 anion exchange resin,,
Nc1ccc([N+](=O)[O-])cc1,C=Cc1ccccc1.CC(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,Nc1ccc([N+](=O)[O-])cc1>>C=Cc1ccccc1.CC(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,"['100-01-6', '100-42-5']",90786-20-2,31-239-CAS-5270946,1,1,100,,108-88-3,,"thermal, zeolite used, optimization study, optimized on catalyst",Comparative hydroamination of aniline and substituted anilines with,"Ciobanu, M.; Tirsoaga, A.; Amoros, P.; Beltran, D.; Coman, S. M.;","Applied Catalysis, A: General (2014), 474230-235",144026-79-9,,,
O=[N+]([O-])c1ccc(O)cc1,C=CCCO.C=CCCOc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1>>C=CCCO.C=CCCOc1ccc([N+](=O)[O-])cc1,"['100-02-7', '627-27-0']",40742-21-0,31-012-CAS-2282182,1,1,100,"['603-35-0', '2446-83-5']",109-99-9,,Mitsunobu reaction,The Sharpless asymmetric aminohydroxylation reaction: optimizing,"Bodkin, Jennifer A.; Bacskay, George B.; McLeod, Malcolm D.","Organic & Biomolecular Chemistry (2008), 6(14), 2544-2553",,,,
O=[N+]([O-])c1ccc(Cl)cc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC1(C)OB(c2ccc([N+](=O)[O-])cc2)OC1(C)C,O=[N+]([O-])c1ccc(Cl)cc1>>CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC1(C)OB(c2ccc([N+](=O)[O-])cc2)OC1(C)C,"['100-00-5', '73183-34-3']",171364-83-3,31-614-CAS-29846019,1,3,100,"['3164-85-0', '7218-04-4']",108-21-4,,Miyaura Borylation reaction,Improvement in the Palladium-Catalyzed Miyaura Borylation Reaction by,"Barroso, Santiago; Joksch, Markus; Puylaert, Pim; Tin, Sergey; Bell,","Journal of Organic Chemistry (2021), 86(1), 103-109","['564483-18-7', '1798782-01-0']",,,
Nc1ccc([N+](=O)[O-])cc1,Ic1ccccc1.[C-]#[O+].O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,Nc1ccc([N+](=O)[O-])cc1>>Ic1ccccc1.[C-]#[O+].O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccccc1,"['100-01-6', '591-50-4', '630-08-0']",3393-96-2,31-614-CAS-28018551,1,1,100,"['121-44-8', '6674-22-2']","['68-12-2', '108-88-3']",,"high pressure, solid-supported catalyst (palladium immobilized on",Double carbonylation of iodoarenes in the presence of reusable palladium,"Urban, Bela; Szabo, Peter; Sranko, David; Safran, Gyorgy; Kollar, Laszlo;","Molecular Catalysis (2018), 445195-205",2211997-02-1,silica supported; reaction product with Pd2(dba)3·CHCl3,,
Nc1ccc([N+](=O)[O-])cc1,COc1ccc(C=O)cc1.O=[N+]([O-])c1ccc(N=Cc2ccccc2)cc1,Nc1ccc([N+](=O)[O-])cc1>>COc1ccc(C=O)cc1.O=[N+]([O-])c1ccc(N=Cc2ccccc2)cc1,"['100-01-6', '123-11-5']",785-81-9,31-111-CAS-11600839,1,1,100,,75-09-2,General/Typical Procedure: GENERAL PROCEDURE FOR THE SYNTHESIS OF IMINES.,"green chemistry, molecular sieves used, sealed vial used",A General Aminocatalytic Method for the Synthesis of Aldimines,"Morales, Sara; Guijarro, Fernando G.; Garcia Ruano, Jose Luis; Cid, M.","Journal of the American Chemical Society (2014), 136(3), 1082-1089",123-75-1,,,
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,O=[N+]([O-])c1ccc(O)cc1.O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2Cl)cc1,O=[N+]([O-])c1ccc(Cl)c(Cl)c1>>O=[N+]([O-])c1ccc(O)cc1.O=[N+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2Cl)cc1,"['99-54-7', '100-02-7']",54495-53-3,31-170-CAS-13090706,1,1,100,6674-22-2,75-05-8,,"high pressure, regioselective, conversion quant., exact yield: 99.84%,",Translation of microwave methodology to continuous flow for the efficient,"Wiles, Charlotte; Watts, Paul","Beilstein Journal of Organic Chemistry (2011), 71360-1371",,,,
Nc1ccc([N+](=O)[O-])cc1,O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.O=[N+]([O-])c1ccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)cc1,Nc1ccc([N+](=O)[O-])cc1>>O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.O=[N+]([O-])c1ccc(N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)cc1,"['100-01-6', '358-23-6']",37595-77-0,31-614-CAS-26419737,1,1,100,121-44-8,75-09-2,,product depends on stoichiometry of anhydride,Convenient synthesis of primary sulfonamides,"Greenfield, Alexander; Grosanu, Cristina","Tetrahedron Letters (2008), 49(44), 6300-6303",,,,
O=[N+]([O-])c1ccc(Cl)cc1,CCCCB(O)O.CCCCc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(Cl)cc1>>CCCCB(O)O.CCCCc1ccc([N+](=O)[O-])cc1,"['100-00-5', '4426-47-5']",20651-75-6,31-179-CAS-5112970,1,2,100,584-08-7,"['109-99-9', '1330-20-7']",,"Suzuki reaction, yield depends on catalyst loading, alternate prepn. also",Tetraphosphine/palladium-catalyzed Suzuki cross-coupling reactions of,"Kondolff, Isabelle; Doucet, Henri; Santelli, Maurice","Tetrahedron (2004), 60(17), 3813-3818","['12012-95-2', '333380-86-2']",,,
CC(=O)c1ccccc1,Nc1ccc([N+](=O)[O-])cc1.O=Cc1ccccc1.O=C(C[C@@H](Nc1ccc([N+](=O)[O-])cc1)c1ccccc1)c1ccccc1,CC(=O)c1ccccc1>>Nc1ccc([N+](=O)[O-])cc1.O=Cc1ccccc1.O=C(C[C@@H](Nc1ccc([N+](=O)[O-])cc1)c1ccccc1)c1ccccc1,"['98-86-2', '100-01-6', '100-52-7']",1818401-78-3,31-315-CAS-189815,1,1,100,,,,"green chemistry, stereoselective, ee (96.3%), Mannich reaction, no",Bronsted acid catalyzed enantio- and diastereoselective one-pot three,"Barbero, Margherita; Cadamuro, Silvano; Dughera, Stefano","Tetrahedron: Asymmetry (2015), 26(20), 1180-1188",1643446-98-3,,,
O=[N+]([O-])c1ccc(Cl)cc1,OB(O)c1cccc(F)c1.O=[N+]([O-])c1ccc(-c2cccc(F)c2)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>OB(O)c1cccc(F)c1.O=[N+]([O-])c1ccc(-c2cccc(F)c2)cc1,"['100-00-5', '768-35-4']",72093-49-3,31-614-CAS-28505090,1,1,100,1310-58-3,7732-18-5,,"green chemistry, Suzuki-Miyaura cross-coupling",Water-Soluble Ionic Palladium Complexes: Effect of Pendant Ionic Groups,"Li, Liuyi; Wu, Tao; Wang, Jinyun; Wang, Ruihu","ChemPlusChem (2014), 79(2), 257-265","['1643-19-2', '1597434-48-4']",,,
COc1ccc(CCC(C)=O)cc1,CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.COc1ccc(CC/C(C)=N/N[Si](C)(C)C(C)(C)C)cc1,COc1ccc(CCC(C)=O)cc1>>CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.COc1ccc(CC/C(C)=N/N[Si](C)(C)C(C)(C)C)cc1,"['104-20-1', '10000-20-1']",690275-02-6,31-614-CAS-24966678,1,1,100,,,4-(4-Methoxyphenyl)-2-butanone N-tert-Butyldimethylsilylhydrazone (2j): A,"stereoselective, 84:16 anti:syn, no solvent",Practical Procedures for the Preparation of,"Furrow, Michael E.; Myers, Andrew G.","Journal of the American Chemical Society (2004), 126(17), 5436-5445",144026-79-9,,,
O=[N+]([O-])c1ccc(O)cc1,C#CCCl.C#CCOc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1>>C#CCCl.C#CCOc1ccc([N+](=O)[O-])cc1,"['100-02-7', '624-65-7']",17061-85-7,31-008-CAS-15706198,1,2,100,584-08-7,127-19-5,,NaOH may also be used (stage 1),Novel propargyl-substituted azo-coupled phenolic resins,"Kalugin, Denis; Luchinkin, Denis; Nechausov, Sergey; Malakho, Artem;","Polymers for Advanced Technologies (2016), 27(6), 718-723",,,,
Nc1ccc([N+](=O)[O-])cc1,O=C(Cl)Oc1ccc([N+](=O)[O-])cc1.CN1CCN(C(=O)Nc2ccc(N)cc2)CC1,Nc1ccc([N+](=O)[O-])cc1>>O=C(Cl)Oc1ccc([N+](=O)[O-])cc1.CN1CCN(C(=O)Nc2ccc(N)cc2)CC1,"['100-01-6', '7693-46-1']",851652-22-7,31-522-CAS-6219490,1,1,100,,,,no experimental detail,"Substituted isoquinoline-1,3(2H,4H)-diones,","Tsou, Hwei-Ru; Ayral-Kaloustian, Semiramis; Birnberg, Gary Harold; Floyd,","World Intellectual Property Organization, WO2007075783 A2 2007-07-05",,,,
CC(=O)c1ccc(Br)cc1,CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.C/C(=N\N[Si](C)(C)C(C)(C)C)c1ccc(Br)cc1,CC(=O)c1ccc(Br)cc1>>CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.C/C(=N\N[Si](C)(C)C(C)(C)C)c1ccc(Br)cc1,"['99-90-1', '10000-20-1']",690275-01-5,31-614-CAS-24935471,1,1,100,,,4’-Bromoacetophenone N-tert-Butyldimethylsilylhydrazone (2i): 7 A 50-mL,"stereoselective, no solvent, using Et2O/solvent gave similar yield",Practical Procedures for the Preparation of,"Furrow, Michael E.; Myers, Andrew G.","Journal of the American Chemical Society (2004), 126(17), 5436-5445",144026-79-9,,,
O=CCCc1ccccc1,CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.CC(C)(C)[Si](C)(C)N/N=C/CCc1ccccc1,O=CCCc1ccccc1>>CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.CC(C)(C)[Si](C)(C)N/N=C/CCc1ccccc1,"['104-53-0', '10000-20-1']",690274-93-2,31-614-CAS-30370389,1,1,100,,,Hydrocinnamaldehyde N-tert-Butyldimethylsilylhydrazone (2a): A freshly,"stereoselective, 84:16 anti:syn, no solvent",Practical Procedures for the Preparation of,"Furrow, Michael E.; Myers, Andrew G.","Journal of the American Chemical Society (2004), 126(17), 5436-5445",144026-79-9,,,
[H][C@]12O[C@H](C=O)[C@]3([H])OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.[H][C@]12O[C@H](/C=N/N[Si](C)(C)C(C)(C)C)[C@]3([H])OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,[H][C@]12O[C@H](C=O)[C@]3([H])OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2>>CC(C)(C)[Si](C)(C)NN[Si](C)(C)C(C)(C)C.[H][C@]12O[C@H](/C=N/N[Si](C)(C)C(C)(C)C)[C@]3([H])OC(C)(C)O[C@]3([H])[C@@]1([H])OC(C)(C)O2,"['4933-77-1', '10000-20-1']",690274-96-5,31-614-CAS-29673521,1,1,100,,75-09-2,"1,2:3,4-Di-O-isopropylidene-D-hexodiald-1,5-ose","stereoselective, 79:21 anti:syn",Practical Procedures for the Preparation of,"Furrow, Michael E.; Myers, Andrew G.","Journal of the American Chemical Society (2004), 126(17), 5436-5445",144026-79-9,,,
[C-]#[N+]c1c(C(C)C)cc(C(C)C)cc1C(C)C,Cc1cc(C)c([Si](c2c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc2C([Si](C)(C)C)[Si](C)(C)C)=[Si](c2c(C)cc(C)cc2C)c2c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc2C([Si](C)(C)C)[Si](C)(C)C)c(C)c1.Cc1cc(C)c([Si](=C=Nc2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc2C([Si](C)(C)C)[Si](C)(C)C)c(C)c1,[C-]#[N+]c1c(C(C)C)cc(C(C)C)cc1C(C)C>>Cc1cc(C)c([Si](c2c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc2C([Si](C)(C)C)[Si](C)(C)C)=[Si](c2c(C)cc(C)cc2C)c2c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc2C([Si](C)(C)C)[Si](C)(C)C)c(C)c1.Cc1cc(C)c([Si](=C=Nc2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C([Si](C)(C)C)[Si](C)(C)C)cc(C([Si](C)(C)C)[Si](C)(C)C)cc2C([Si](C)(C)C)[Si](C)(C)C)c(C)c1,"['100011-06-1', '185910-18-3']",185910-20-7,31-614-CAS-29877438,1,1,100,,109-99-9,,other solvents were used,Reaction of a Sterically Hindered Silylene with Isocyanides: The First,"Takeda, Nobuhiro; Suzuki, Hiroyuki; Tokitoh, Norihiro; Okazaki, Renji;","Journal of the American Chemical Society (1997), 119(6), 1456-1457",,,,
O=[N+]([O-])c1ccc(Cl)cc1,CCCc1nccs1.CCCc1ncc(-c2ccc([N+](=O)[O-])cc2)s1,O=[N+]([O-])c1ccc(Cl)cc1>>CCCc1nccs1.CCCc1ncc(-c2ccc([N+](=O)[O-])cc2)s1,"['100-00-5', '17626-75-4']",1026094-94-9,31-177-CAS-1173073,1,1,100,127-08-2,127-19-5,,"NaOAc used as base gave lower yield, alternative preparation shown",Activated aryl chlorides: useful partners for the coupling with,"Gottumukkala, Aditya L.; Doucet, Henri","European Journal of Inorganic Chemistry (2007), (23), 3629-3632",658062-48-7,,,
O=[N+]([O-])c1ccc(O)cc1,CCCBr.CCCOc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1>>CCCBr.CCCOc1ccc([N+](=O)[O-])cc1,"['100-02-7', '106-94-5']",7244-77-1,31-008-CAS-6735783,1,1,100,584-08-7,"['108-88-3', '7732-18-5']",,"green chemistry, ultrasound ((40 kHz), alternative preparation shown,",An efficient ultrasound promoted single spot synthesis of p-nitrophenyl,"Abimannan, Pachaiyappan; Rajendran, Venugopal","International Journal of ChemTech Research (2015), 7(5), 2208-2216",42790-43-2,,,
Cl.N=C(N)NCCC[C@H](N)C(N)=O,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)NC(C)(C)C(=O)O)C(C)C.CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NC(C)(C)C(N)=O)C(C)C,Cl.N=C(N)NCCC[C@H](N)C(N)=O>>CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cn(C(=O)OC(C)(C)C)c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCNC(=O)OC(C)(C)C)C(=O)NC(C)(C)C(=O)O)C(C)C.CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)NC(C)(C)C(N)=O)C(C)C,"['14975-30-5', '1000164-36-2']",1000164-39-5,31-614-CAS-29370420,1,3,100,"['2592-95-2', '7087-68-5', '94790-37-1', '110-89-4', '7732-18-5']",67-68-5,EXAMPLE 8-Solution Synthesis: Adding Arg A (Aib35) GLP-1 (23-35) fragment,incremental addition of DIEA in stage 1,Synthesis of insulinotropic peptides by a solid and solution approach via,"Chen, Lin; Han, Yeun-Kwei; Roberts, Christopher R.","World Intellectual Property Organization, WO2007147816 A1 2007-12-27",,,,
O=C(OC(=O)c1ccccc1)c1ccccc1,O=[N+]([O-])c1ccc(O)cc1.O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,O=C(OC(=O)c1ccccc1)c1ccccc1>>O=[N+]([O-])c1ccc(O)cc1.O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,"['93-97-0', '100-02-7']",959-22-8,31-355-CAS-7591662,1,1,100,,,,no solvent,Zinc perchlorate hexahydrate [Zn(ClO4)2•6H2O] as acylation catalyst for,"Shivani; Gulhane, Rajesh; Chakraborti, Asit K.","Journal of Molecular Catalysis A: Chemical (2007), 264(1-2), 208-213",10025-64-6,,,
O=[N+]([O-])c1ccc(Cl)cc1,CNC.[C-]#[O+].CN(C)C(=O)Nc1ccc(Cl)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>CNC.[C-]#[O+].CN(C)C(=O)Nc1ccc(Cl)cc1,"['100-00-5', '124-40-3', '630-08-0']",150-68-5,31-522-CAS-1963601,1,1,100,,108-88-3,,"chemoselective, high pressure, yield depends on reaction conditions",Selective formation of unsymmetric ureas by selenium-catalyzed,"Mei, Jianting; Yang, Ying; Xue, Yan; Lu, Shiwei","Journal of Molecular Catalysis A: Chemical (2003), 191(1), 135-139","['121-44-8', '7782-49-2']",,,
O=[N+]([O-])c1ccc(O)cc1,O=C(Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1.O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,O=[N+]([O-])c1ccc(O)cc1>>O=C(Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1.O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,"['100-02-7', '1523-15-5']",959-22-8,31-357-CAS-4272291,1,1,100,298-14-6,68-12-2,General/Typical Procedure: Reaction of phenols IIa-IIh with,"alternative preparation shown, kinetics studied, mechanism studied","Enthalpy-entropy correlations in reactions of 2,4-dinitrophenyl benzoate","Khalfina, I. A.; Vlasov, V. M.","Russian Journal of Organic Chemistry (2011), 47(6), 845-854",,,,
O=[N+]([O-])c1ccc(O)cc1,O=C(Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1.O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,O=[N+]([O-])c1ccc(O)cc1>>O=C(Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1.O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,"['100-02-7', '1523-15-5']",959-22-8,31-357-CAS-12821855,1,1,100,584-08-7,68-12-2,General/Typical Procedure: Reaction of phenols IIa-IIi with compound I in,"alternative preparation decreased yield, kinetics studied, mechanism","Enthalpy and entropy relations in reactions of 2,4-dinitrophenyl benzoate","Khalfina, I. A.; Vlasov, V. M.","Russian Journal of Organic Chemistry (2008), 44(11), 1619-1625",,,,
O=[N+]([O-])c1ccc(O)cc1,[N-]=[N+]=C(c1ccccc1)c1ccccc1.O=[N+]([O-])c1ccc(OC(c2ccccc2)c2ccccc2)cc1,O=[N+]([O-])c1ccc(O)cc1>>[N-]=[N+]=C(c1ccccc1)c1ccccc1.O=[N+]([O-])c1ccc(OC(c2ccccc2)c2ccccc2)cc1,"['100-02-7', '883-40-9']",62516-66-9,31-011-CAS-4504484,1,1,100,,,,Classification: O-Alkylation; # Conditions: 10 deg; 20 deg 1h,Phenol alkylation; introduction of diphenylmenthyl,"Busch, M.; Knoll, Robert",Berichte der Deutschen Chemischen Gesellschaft [Abteilung] B:,,,,
O=[N+]([O-])c1ccc(O)cc1,CCOC(=O)OCC.CCOc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1>>CCOC(=O)OCC.CCOc1ccc([N+](=O)[O-])cc1,"['100-02-7', '105-58-8']",100-29-8,31-010-CAS-16967542,1,1,100,,,,"optimization study, optimized on temperature and reaction time",Method for preparing p-nitrophenyl ethyl ether through catalysis,"Cao, Jinlong","China, CN106349078 A 2017-01-25",,,,
O=[N+]([O-])c1ccc(O)cc1,CC(C)C(Cl)OC(=O)Cl.CC(C)C(Cl)OC(=O)Oc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(O)cc1>>CC(C)C(Cl)OC(=O)Cl.CC(C)C(Cl)OC(=O)Oc1ccc([N+](=O)[O-])cc1,"['100-02-7', '92600-11-8']",478296-54-7,31-354-CAS-8400707,1,1,100,110-86-1,75-09-2,Example 33. 3-{[(α-Iso,reaction from p.44 in patent,"Prodrugs of GABA analogs and their preparation, pharmaceutical","Gallop, Mark A.; Cundy, Kenneth C.; Zhou, Cindy X.; Yao, Fenmei; Xiang,","United States, US20060229361 A1 2006-10-12",,,,
O=[N+]([O-])c1ccc(Cl)cc1,OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,"['100-00-5', '1765-93-1']",398-24-3,31-614-CAS-27714840,1,1,100,1310-58-3,7732-18-5,,"green chemistry, Suzuki-Miyaura cross-coupling",Water-Soluble Ionic Palladium Complexes: Effect of Pendant Ionic Groups,"Li, Liuyi; Wu, Tao; Wang, Jinyun; Wang, Ruihu","ChemPlusChem (2014), 79(2), 257-265","['1643-19-2', '1597434-48-4']",,,
O=[N+]([O-])c1ccc(Cl)cc1,OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,"['100-00-5', '1765-93-1']",398-24-3,31-179-CAS-16513341,1,1,100,584-08-7,7732-18-5,,"green chemistry-catalyst, thermal, Suzuki-Miyaura cross-coupling,",Water-Soluble Palladium Click Chelating Complex: An Efficient and,"Kong, Fanzhen; Zhou, Chunshan; Wang, Jinyun; Yu, Zhangyu; Wang, Ruihu","ChemPlusChem (2013), 78(6), 536-545","['1643-19-2', '1425725-67-2']",,,
O=[N+]([O-])c1ccc(Cl)cc1,OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,"['100-00-5', '1765-93-1']",398-24-3,31-179-CAS-11202239,1,1,100,429-41-4,,,"Suzuki-Miyaura cross-coupling, Pd-nanoparticles generated in-situ from",Generation of Pd nanoparticles in situ from PdCl2 in TBAF: an efficient,"Tao, Liming; Xie, Yexiang; Deng, Chenliang; Li, Jinheng","Chinese Journal of Chemistry (2009), 27(7), 1365-1373",7647-10-1,,,
O=[N+]([O-])c1ccc(Cl)cc1,OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,O=[N+]([O-])c1ccc(Cl)cc1>>OB(O)c1ccc(F)cc1.O=[N+]([O-])c1ccc(-c2ccc(F)cc2)cc1,"['100-00-5', '1765-93-1']",398-24-3,31-179-CAS-3419740,1,1,100,429-41-4,,"General/Typical Procedure: A mixture of aryl halide 1 (0.5 mmol),",no solvent,"Solvent-Free, Palladium-Catalyzed Suzuki-Miyaura Cross-Couplings of Aryl","Li, Jin-Heng; Deng, Chen-Liang; Xie, Ye-Xiang","Synthetic Communications (2007), 37(14), 2433-2448","['2622-14-2', '14592-56-4']",,,
