Reactants_SMILES,Products_SMILES,Reaction_SMILES,RXN:RCT:CAS_RN,RXN:PRO:CAS_RN,RXN:VAR:CAS_Reaction_Number,RXN:VAR:STEPS,RXN:VAR:STAGES,RXN:VAR:PRO:YIELD,RXN:VAR:CAT:CAS_RN,RXN:VAR:SOL:CAS_RN,RXN:VAR:NOTES,RXN:VAR:REFERENCE:TITLE,RXN:VAR:REFERENCE:AUTHOR,RXN:VAR:REFERENCE:CITATION,RXN:VAR:RGT:CAS_RN,RXN:VAR:EXP_PROC,RXN:VAR:CAT:AMD
COC(=O)CC(=O)OC,Cc1cccc(/C=C/[N+](=O)[O-])c1.COC(=O)C(C(=O)OC)[C@H](C[N+](=O)[O-])c1cccc(C)c1,COC(=O)CC(=O)OC>>Cc1cccc(/C=C/[N+](=O)[O-])c1.COC(=O)C(C(=O)OC)[C@H](C[N+](=O)[O-])c1cccc(C)c1,"['108-59-8', '22568-43-0']",1204249-95-5,31-254-CAS-11134171,1,3,100,"['263013-20-3', '410092-98-7']","['108-88-3', '7732-18-5']","green chemistry-catalyst, stereoselective, mol. sieves used, 94% ee,",Chiral calcium catalysts with neutral coordinative ligands:,"Tsubogo, Tetsu; Yamashita, Yasuhiro; Kobayashi, Shu","Angewandte Chemie, International Edition (2009), 48(48), 9117-9120,",12125-02-9,,
CC1(C)CC(=O)CC(=O)C1,C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,CC1(C)CC(=O)CC(=O)C1>>C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,"['126-81-8', '479257-88-0']",850011-23-3,31-254-CAS-9621251,1,1,100,"['373-02-4', '195433-00-2']",109-99-9,"stereoselective, ee depends solvent and time",Catalytic activation of nucleophile precursors with metal acetates in,"Ono, Fumiyasu; Hasegawa, Masayuki; Kanemasa, Shuji; Tanaka, Junji","Tetrahedron Letters (2008), 49(34), 5105-5107",108-24-7,,
CC1(C)CC(=O)CC(=O)C1,C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,CC1(C)CC(=O)CC(=O)C1>>C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,"['126-81-8', '479257-88-0']",850011-23-3,31-254-CAS-13881037,1,1,100,"['373-02-4', '195433-00-2']",64-17-5,"stereoselective, ee depends solvent and time",Catalytic activation of nucleophile precursors with metal acetates in,"Ono, Fumiyasu; Hasegawa, Masayuki; Kanemasa, Shuji; Tanaka, Junji","Tetrahedron Letters (2008), 49(34), 5105-5107",108-24-7,,
CC1(C)CC(=O)CC(=O)C1,C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,CC1(C)CC(=O)CC(=O)C1>>C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,"['126-81-8', '479257-88-0']",850011-23-3,31-254-CAS-454898,1,1,100,"['373-02-4', '195433-00-2']",67-63-0,"stereoselective, ee depends solvent and time",Catalytic activation of nucleophile precursors with metal acetates in,"Ono, Fumiyasu; Hasegawa, Masayuki; Kanemasa, Shuji; Tanaka, Junji","Tetrahedron Letters (2008), 49(34), 5105-5107",108-24-7,,
CC1(C)CC(=O)CC(=O)C1,C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,CC1(C)CC(=O)CC(=O)C1>>C/C=C/C(=O)n1nc(C)c(Br)c1C.C[C@H]1CC(=O)OC2=C1C(=O)CC(C)(C)C2,"['126-81-8', '479257-88-0']",850011-23-3,31-254-CAS-11751320,1,1,100,"['373-02-4', '195433-00-2']",109-99-9,"stereoselective, ee depends solvent and time",Catalytic activation of nucleophile precursors with metal acetates in,"Ono, Fumiyasu; Hasegawa, Masayuki; Kanemasa, Shuji; Tanaka, Junji","Tetrahedron Letters (2008), 49(34), 5105-5107",,,
CCOC(=O)CC#N,C=CC=O.CCOC(=O)C(C#N)CCC=O,CCOC(=O)CC#N>>C=CC=O.CCOC(=O)C(C#N)CCC=O,"['105-56-6', '107-02-8']",201730-05-4,31-254-CAS-4695955,1,1,100,5807-14-7,75-05-8,313°K for 0.5 h,"1,5,7-Triazabicyclo[4.4.0]dec-5-ene immobilized in MCM-41: a strongly","Rao, Yarlagadda V. Subba; De Vos, Dirk E.; Jacobs, Pierre A.","Angewandte Chemie, International Edition in English (1997), 36(23),",,,immobilized in MCM-41
O=C(CBr)c1ccccc1,CC(=O)C(=Cc1ccc(Br)s1)C(C)=O.CC(=O)C1=C(C)O[C@H](C(=O)c2ccccc2)[C@H]1c1ccc(Br)s1,O=C(CBr)c1ccccc1>>CC(=O)C(=Cc1ccc(Br)s1)C(C)=O.CC(=O)C1=C(C)O[C@H](C(=O)c2ccccc2)[C@H]1c1ccc(Br)s1,"['70-11-1', '137109-94-5']",2148898-84-2,31-254-CAS-17926013,1,1,100,,109-99-9,"stereoselective, diastereomeric ratio is grater than 95:5","Enantioselective Synthesis of 2,3-Dihydrofurans via Ammonium Ylides","Worgull, Dennis; Oehler, Laura; Strache, Joss Pepe; Friedrichs, Teresa;","European Journal of Organic Chemistry (2017), 2017(40), 6077-6080","['110-86-1', '584-08-7']",,
CC(C)CC=O,C=C(C(=O)OCC)P(=O)(OCC)OCC.CCOC(=O)C(C[C@@H](C=O)C(C)C)P(=O)(OCC)OCC,CC(C)CC=O>>C=C(C(=O)OCC)P(=O)(OCC)OCC.CCOC(=O)C(C[C@@H](C=O)C(C)C)P(=O)(OCC)OCC,"['590-86-3', '20345-61-3']",1072955-79-3,31-254-CAS-11374445,1,1,100,908303-26-4,67-66-3,"stereoselective, ee = 98%, enantioselective Michael addition, optimized",Enantioselective Organocatalytic Approach to α-Methylene-δ-lactones and,"Albrecht, Lukasz; Richter, Bo; Krawczyk, Henryk; Joergensen, Karl Anker","Journal of Organic Chemistry (2008), 73(21), 8337-8343",,,
CC1(C)CCC(=O)CC1=O,O=[N+]([O-])/C(Br)=C/c1ccccc1.CC1(C)CCC(=O)C2=C1O[C@H]([N+](=O)[O-])[C@H]2c1ccccc1,CC1(C)CCC(=O)CC1=O>>O=[N+]([O-])/C(Br)=C/c1ccccc1.CC1(C)CCC(=O)C2=C1O[C@H]([N+](=O)[O-])[C@H]2c1ccccc1,"['562-46-9', '18315-81-6']",2826274-77-3,31-614-CAS-33897358,1,1,100,1610724-48-5,75-09-2,"stereoselective, %ee = 70","Enantioselective synthesis of 2,3-dihydrofurans using a bifunctional","Susam, Zeynep Dilsad; Bozdemir, Merve; Gundogdu, Gulsum; Tanyeli,","New Journal of Chemistry (2022), 46(2), 599-606",497-19-8,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1Br.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1Br,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1Br.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1Br,"['110-62-3', '155988-33-3']",1788091-06-4,31-254-CAS-18392794,1,2,100,2173591-27-8,108-88-3,"stereoselective, ee (92%), syn:anti = 95:5, Michael addition",Michael addition of carbonyl compounds to nitroolefins under the,"Castan, A.; Badorrey, R.; Galvez, J. A.; Lopez-Ram-de-Viu, P.;","Organic & Biomolecular Chemistry (2018), 16(6), 924-935",,,
CCCCC=O,O=[N+]([O-])/C=C/c1ccccc1Br.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1Br,CCCCC=O>>O=[N+]([O-])/C=C/c1ccccc1Br.CCC[C@@H](C=O)[C@H](C[N+](=O)[O-])c1ccccc1Br,"['110-62-3', '155988-33-3']",1788091-06-4,31-254-CAS-17320776,1,2,100,2114353-81-8,108-87-2,"stereoselective, syn:anti 92:8, Michael addition, catalyst prepared and",Synthesis of new pyrrolidine-based organocatalysts and study of their use,"Castan, Alejandro; Badorrey, Ramon; Galvez, Jose A.; Diaz-de-Villegas,","Beilstein Journal of Organic Chemistry (2017), 13612-619",,,
CC[N+](=O)[O-],CCOC(=O)c1cn(COCC[Si](C)(C)C)c(CC(=O)C=C(C)C)c1-c1ccc(C)cc1.CCOC(=O)c1cn(COCC[Si](C)(C)C)c(CC(=O)CC(C)(C)C(C)[N+](=O)[O-])c1-c1ccc(C)cc1,CC[N+](=O)[O-]>>CCOC(=O)c1cn(COCC[Si](C)(C)C)c(CC(=O)C=C(C)C)c1-c1ccc(C)cc1.CCOC(=O)c1cn(COCC[Si](C)(C)C)c(CC(=O)CC(C)(C)C(C)[N+](=O)[O-])c1-c1ccc(C)cc1,"['79-24-3', '2981420-64-6']",2981420-65-7,31-614-CAS-37577629,1,1,100,,,Heck coupling,"Bacteriochlorin syntheses - Status, problems, and exploration","Tran, Vy-Phuong; Wang, Pengzhi; Matsumoto, Nobuyuki; Liu, Sijia; Jing,","Journal of Porphyrins and Phthalocyanines (2023), 27(11), 1502-1551",6674-22-2,,
COC(=O)C=CCCC1(C)C(=O)CCC1=O,[H][C@@]12CC(=O)[C@@](C)(CC[C@H]1CC(=O)OC)C2=O,COC(=O)C=CCCC1(C)C(=O)CCC1=O>>[H][C@@]12CC(=O)[C@@](C)(CC[C@H]1CC(=O)OC)C2=O,1215086-79-5,1487422-57-0,31-254-CAS-544795,1,1,100,998-40-3,108-88-3,"stereoselective, intramolecular Michael reaction",Phosphine-Catalyzed Reactions of Activated Olefins Tethered to,"Wang, Yanhui; Jaunet, Alexis; Geoffroy, Philippe; Miesch, Michel","Organic Letters (2013), 15(24), 6198-6201",,General/Typical Procedure: General procedure for n-Bu3P organocatalyzed,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)C=CCOc1ccccc1F.CCOC(=O)C[C@@H](COc1ccccc1F)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)C=CCOc1ccccc1F.CCOC(=O)C[C@@H](COc1ccccc1F)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '1563958-78-0']",3049309-02-3,31-614-CAS-40899450,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, dr >20:1","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
O=CCCc1ccccc1,N#Cc1ccc(C2=CC(=O)NC2=O)cc1.[H][C@@]1([C@H](C=O)Cc2ccccc2)C(=O)NC(=O)[C@H]1c1ccc(C#N)cc1,O=CCCc1ccccc1>>N#Cc1ccc(C2=CC(=O)NC2=O)cc1.[H][C@@]1([C@H](C=O)Cc2ccccc2)C(=O)NC(=O)[C@H]1c1ccc(C#N)cc1,"['104-53-0', '2763945-05-5']",2763945-18-0,31-614-CAS-31589031,1,1,100,2763945-02-2,123-91-1,"chemoselective, stereoselective, ee (95%), dr = 83:8:4:5",Peptide-Catalyzed Stereoselective Conjugate Addition Reaction of,"Vastakaite, Greta; Gruenenfelder, Claudio E.; Wennemers, Helma","Chemistry - A European Journal (2022), 28(18), e202200215",109-02-4,,
CCOC(=O)CC(=O)c1ccccc1,C=CS(=O)c1ccccc1.CCOC(=O)C(CCS(=O)c1ccccc1)C(=O)c1ccccc1,CCOC(=O)CC(=O)c1ccccc1>>C=CS(=O)c1ccccc1.CCOC(=O)C(CCS(=O)c1ccccc1)C(=O)c1ccccc1,"['94-02-0', '20451-53-0']",141764-73-0,31-254-CAS-17499069,1,1,100,,64-17-5,Michael addition,Phenylsulfinylethylene,"De Lucchi, Ottorino; Licini, Giulia; Krasnova, Larissa B.; Yudin, Andrei","e-EROS Encyclopedia of Reagents for Organic Synthesis (2008), 1-7",141-52-6,,
CC=CC(C)=O,N#CC(C#N)c1ccccc1.CC(=O)CC(C)C(C#N)(C#N)c1ccccc1,CC=CC(C)=O>>N#CC(C#N)c1ccccc1.CC(=O)CC(C)C(C#N)(C#N)c1ccccc1,"['625-33-2', '3041-40-5']",2414959-20-7,31-254-CAS-21750749,1,1,100,674783-97-2,75-09-2,"photochemical (Blue LED (450 nm) used), Michael addition","Photoredox Michael addition of phenylmalononitrile onto α,β-unsaturated","Hirahama, Toshiya; Umezawa, Misaki; Shoji, Mitsuru","Tetrahedron Letters (2020), 61(18), 151824",513-35-9,,
CC(=O)CC(C)=O,CCOC(=O)C(=Cc1ccccc1)[N+](=O)[O-].CCOC(=O)C1OC(C)=C(C(C)=O)C1c1ccccc1,CC(=O)CC(C)=O>>CCOC(=O)C(=Cc1ccccc1)[N+](=O)[O-].CCOC(=O)C1OC(C)=C(C(C)=O)C1c1ccccc1,"['123-54-6', '16508-09-1']",1399076-04-0,31-254-CAS-22251195,1,1,100,,75-05-8,"regioselective, alternative preparation shown",Comparison of substituting ability of nitronate versus enolate for direct,"Mukaijo, Yusuke; Yokoyama, Soichi; Nishiwaki, Nagatoshi","Molecules (2020), 25(9), 2048",121-44-8,,
C=CC(C)=O,CC(C)=CCC[C@@H](C)CC=O.CC(=O)CCC(C=O)[C@H](C)CCC=C(C)C,C=CC(C)=O>>CC(C)=CCC[C@@H](C)CC=O.CC(=O)CCC(C=O)[C@H](C)CCC=C(C)C,"['78-94-4', '2385-77-5']",131308-24-2,31-254-CAS-12101206,1,1,100,,75-05-8,Product yield depends upon stoichiometry of reagent used,"Diethylaminotrimethylsilane-catalyzed 1,4-addition of aldehydes to vinyl","Hagiwara, Hisahiro; Ono, Hiroki; Hoshi, Takashi","Organic Syntheses (2003), 80195-199",996-50-9,,
[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2,CC=CC(=O)OCC.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](C)CC(=O)OCC)O1)C2,[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2>>CC=CC(=O)OCC.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@@H](C)CC(=O)OCC)O1)C2,"['810671-46-6', '10544-63-5']",810671-55-7,31-254-CAS-10629405,1,3,100,,"['109-99-9', '7732-18-5']","stereoselective, de >95%, Michael addition",Highly Stereoselective Michael Addition Reactions of CamTHP-Desymmetrized,"Dixon, Darren J.; Horan, Richard A. J.; Monck, Nathaniel J. T.; Berg,","Organic Letters (2004), 6(24), 4427-4429","['4039-32-1', '64-19-7']",General/Typical Procedure: General procedure for the Michael reaction of,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)/C=C/COc1ccc([N+](=O)[O-])cc1.CCOC(=O)C[C@@H](COc1ccc([N+](=O)[O-])cc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)/C=C/COc1ccc([N+](=O)[O-])cc1.CCOC(=O)C[C@@H](COc1ccc([N+](=O)[O-])cc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '1802424-83-4']",3049309-09-0,31-614-CAS-40899454,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, dr >20:1","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
O=C1CCCC1C(=O)OC1c2ccccc2-c2ccccc21,C=CC(C)=O.CC(=O)CC[C@@]1(C(=O)OC2c3ccccc3-c3ccccc32)CCCC1=O,O=C1CCCC1C(=O)OC1c2ccccc2-c2ccccc21>>C=CC(C)=O.CC(=O)CC[C@@]1(C(=O)OC2c3ccccc3-c3ccccc32)CCCC1=O,"['618420-47-6', '78-94-4']",618420-58-9,31-254-CAS-16515507,1,2,100,438002-03-0,98-82-8,"stereoselective, %ee = 97","4,4'-Spirobi[4H-dinaphth[2,1-c:1',2'-e]-azepinium],3,3',5,5'-tetrahydro-2,6-bis(3,4,5-trifluorophenyl),","Hashimoto, Takuya; Fukumoto, Kazuhiro; Maruoka, Keiji","e-EROS Encyclopedia of Reagents for Organic Synthesis (2008), 1-7",584-08-7,,
C=CC(C)=O,O=C1CCCC1C(=O)OC1c2ccccc2-c2ccccc21.CC(=O)CC[C@@]1(C(=O)OC2c3ccccc3-c3ccccc32)CCCC1=O,C=CC(C)=O>>O=C1CCCC1C(=O)OC1c2ccccc2-c2ccccc21.CC(=O)CC[C@@]1(C(=O)OC2c3ccccc3-c3ccccc32)CCCC1=O,"['78-94-4', '618420-47-6']",618420-58-9,31-254-CAS-11166836,1,2,100,104-15-4,98-82-8,"stereoselective, Michael reaction",Highly enantioselective construction of quaternary stereocenters on,"Ooi, Takashi; Miki, Takashi; Taniguchi, Mika; Shiraishi, Misato;","Angewandte Chemie, International Edition (2003), 42(32), 3796-3798",584-08-7,,
Cc1ccc(S(=O)(=O)NCCC2Cc3ccccc3C2=O)cc1,O=C(C#CBr)c1ccc2ccccc2c1.Cc1ccc(S(=O)(=O)N2CCC3(Cc4ccccc4C3=O)/C2=C\C(=O)c2ccc3ccccc3c2)cc1,Cc1ccc(S(=O)(=O)NCCC2Cc3ccccc3C2=O)cc1>>O=C(C#CBr)c1ccc2ccccc2c1.Cc1ccc(S(=O)(=O)N2CCC3(Cc4ccccc4C3=O)/C2=C\C(=O)c2ccc3ccccc3c2)cc1,"['2134108-83-9', '2134108-92-0']",2134108-76-0,31-066-CAS-17795659,1,1,100,66-71-7,,"stereoselective, alternative reaction conditions shown",Direct Spirocyclization from Keto-sulfonamides: An Approach to Azaspiro,"Beltran, Frederic; Fabre, Indira; Ciofini, Ilaria; Miesch, Laurence","Organic Letters (2017), 19(19), 5042-5045",534-17-8,,
CC(=O)c1ccco1,O=[N+]([O-])/C=C/C=C/c1ccccc1.O=C(C[C@@H](/C=C/c1ccccc1)C[N+](=O)[O-])c1ccco1,CC(=O)c1ccco1>>O=[N+]([O-])/C=C/C=C/c1ccccc1.O=C(C[C@@H](/C=C/c1ccccc1)C[N+](=O)[O-])c1ccco1,"['1192-62-7', '28925-75-9']",1209466-48-7,31-254-CAS-11849557,1,1,100,1370418-69-1,67-66-3,"regioselective, stereoselective, thermal, Michael addn., pressure vessel","Organocatalytic ""difficult"" Michael reaction of ketones with nitrodienes","Tsakos, Michail; Kokotos, Christoforos G.","European Journal of Organic Chemistry (2012), 2012(3), 576-580,",,,
CCCC=O,O=[N+]([O-])/C=C/c1cccs1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1cccs1,CCCC=O>>O=[N+]([O-])/C=C/c1cccs1.CC[C@H](C=O)[C@@H](C[N+](=O)[O-])c1cccs1,"['123-72-8', '34312-77-1']",928032-07-9,31-254-CAS-5835145,1,1,100,1021646-82-1,"['67-63-0', '67-66-3']","solid-supported catalyst, stereoselective, TentaGel used, catalyst on",Efficient Recovery and Reuse of an Immobilized Peptidic Organocatalyst,"Arakawa, Yukihiro; Wiesner, Markus; Wennemers, Helma","Advanced Synthesis & Catalysis (2011), 353(8), 1201-1206",,,TentaGel supported
O=C1CN2=C(c3ccccc3)c3ccccc3[N-]3C(=O)C4=CC=CC=N4[Cu+2]23[O-]1,C=CC(=O)OC.COC(=O)CCC1C(=O)[O-][Cu+2]23N4=CC=CC=C4C(=O)[N-]2c2ccccc2C(c2ccccc2)=N13,O=C1CN2=C(c3ccccc3)c3ccccc3[N-]3C(=O)C4=CC=CC=N4[Cu+2]23[O-]1>>C=CC(=O)OC.COC(=O)CCC1C(=O)[O-][Cu+2]23N4=CC=CC=C4C(=O)[N-]2c2ccccc2C(c2ccccc2)=N13,"['1376703-11-5', '96-33-3']",1376321-64-0,31-254-CAS-17054313,1,3,100,309269-73-6,75-09-2,"stereoselective (87% ee), Michael addition",Synthesis and study of a new achiral CuII complex of Schiff base of,"Akopyan, K. V.","Hayastani Kimiakan Handes (2011), 64(3), 367-372","['1310-58-3', '64-19-7']",,
CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1,CCOC(=O)/C=C/COc1ccccc1.CCOC(=O)C[C@@H](COc1ccccc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1>>CCOC(=O)/C=C/COc1ccccc1.CCOC(=O)C[C@@H](COc1ccccc1)[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C,"['81477-94-3', '113232-17-0']",3049309-01-2,31-614-CAS-40899452,1,2,100,6674-22-2,109-99-9,"stereoselective, Michael addition, optimization study, optimized on","DBU-Catalyzed Glutamation of Phenols, Thiophenols, Secondary Amines and","Wang, Xue-Ying; Zhu, Si-Kai; Cheng, Mei-Ling; Jiang, Ru; Zhang,","European Journal of Organic Chemistry (2024), 27(22), e202400184","['7550-35-8', '7732-18-5']",,
C[N+](=O)[O-],CCOC(=O)C(C#N)=C1C(=O)Nc2ccccc21.CCOC(=O)C(C#N)C1(C[N+](=O)[O-])C(=O)Nc2ccccc21,C[N+](=O)[O-]>>CCOC(=O)C(C#N)=C1C(=O)Nc2ccccc21.CCOC(=O)C(C#N)C1(C[N+](=O)[O-])C(=O)Nc2ccccc21,"['75-52-5', '59225-18-2']",3056371-03-7,31-614-CAS-43660856,1,1,100,110-89-4,75-09-2,Michael addition,A Sequential Nitro-Michael Addition and Reductive Cyclization Cascade,"Nichinde, Chandrakant B.; Bhati, Meema; Girase, Amardipsing S.; Patil,","European Journal of Organic Chemistry (2025), 28(5), e202401121",,,
C=C(C(=O)OC)c1ccccc1,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)[C@H](C[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C)c1ccccc1,C=C(C(=O)OC)c1ccccc1>>CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)[C@H](C[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C)c1ccccc1,"['1865-29-8', '81477-94-3']",940297-45-0,31-254-CAS-7987613,1,3,100,"['15571-51-4', '132098-59-0']","['109-99-9', '7732-18-5']","stereoselective, mol. sieves used","Development of Catalytic Asymmetric 1,4-Addition and [3 + 2]","Tsubogo, Tetsu; Saito, Susumu; Seki, Kazutaka; Yamashita, Yasuhiro;","Journal of the American Chemical Society (2008), 130(40), 13321-13332",12125-02-9,General/Typical Procedure: Typical experimental procedure for catalytic,
C=C(C(=O)OC)c1ccccc1,CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)[C@H](C[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C)c1ccccc1,C=C(C(=O)OC)c1ccccc1>>CC(C)(C)OC(=O)CN=C(c1ccccc1)c1ccccc1.COC(=O)[C@H](C[C@@H](N=C(c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C)c1ccccc1,"['1865-29-8', '81477-94-3']",940297-45-0,31-254-CAS-14421923,1,3,100,"['15571-51-4', '132098-59-0']","['109-99-9', '7732-18-5']","stereoselective (isomer mix.), molecular sieves used",Chiral Calcium Complexes as Bronsted Base Catalysts for Asymmetric,"Saito, Susumu; Tsubogo, Tetsu; Kobayashi, Shu","Journal of the American Chemical Society (2007), 129(17), 5364-5365",12125-02-9,General/Typical Procedure: Typical experimental procedure for catalytic,
C=C(Cl)C#N,CCOC(=O)C(C#N)c1ccc(C)cc1.CCOC(=O)[C@](C#N)(C[C@H](Cl)C#N)c1ccc(C)cc1,C=C(Cl)C#N>>CCOC(=O)C(C#N)c1ccc(C)cc1.CCOC(=O)[C@](C#N)(C[C@H](Cl)C#N)c1ccc(C)cc1,"['920-37-6', '39266-20-1']",927824-93-9,31-254-CAS-5900038,1,1,100,934295-94-0,108-88-3,"stereoselective, 95% ee, Michael addition",Asymmetric carbon-carbon-bond-forming reactions catalyzed by bifunctional,"Deng, Li; Li, Hongming; Wang, Yi; Wu, Fanghui","United States, US20070083049 A1 2007-04-12",,General/Typical Procedure: General Procedure for the Asymmetric Conjugate,
CC(=O)CC(C)=O,O=C1C=CC(=O)N1c1ccccc1.CC(=O)C(C(C)=O)[C@@H]1CC(=O)N(c2ccccc2)C1=O,CC(=O)CC(C)=O>>O=C1C=CC(=O)N1c1ccccc1.CC(=O)C(C(C)=O)[C@@H]1CC(=O)N(c2ccccc2)C1=O,"['123-54-6', '941-69-5']",1344715-59-8,31-254-CAS-9723179,1,1,100,"['76-05-1', '1170773-37-1']",108-88-3,"stereoselective (97% ee), Michael addition",Enantioselective synthesis of succinimides by Michael addition of,"Gomez-Torres, Eduardo; Alonso, Diego A.; Gomez-Bengoa, Enrique; Najera,","European Journal of Organic Chemistry (2013), 2013(8), 1434-1440",,,
C[N+](=O)[O-],CCOC(=O)C=Cc1cccc(I)c1.CCOC(=O)CC(C[N+](=O)[O-])c1cccc(I)c1,C[N+](=O)[O-]>>CCOC(=O)C=Cc1cccc(I)c1.CCOC(=O)CC(C[N+](=O)[O-])c1cccc(I)c1,"['75-52-5', '187342-24-1']",2242776-21-0,31-254-CAS-20428700,1,3,100,,7732-18-5,"regioselective, Michael addition",Preparation of 18F-radiolabeled pharmaceuticals by radiofluorination of,"Huang, Yiyun; Cai, Zhengxin; Li, Songye; Nabulsi, Nabeel; Carson, Richard","World Intellectual Property Organization, WO2018152339 A1 2018-08-23","['6674-22-2', '12125-02-9', '7647-01-0']",,
[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2,COc1ccc(C=C[N+](=O)[O-])cc1.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@H](C[N+](=O)[O-])c3ccc(OC)cc3)O1)C2,[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(CC(=O)N(C)C)C(=O)OCc3ccccc3)O1)C2>>COc1ccc(C=C[N+](=O)[O-])cc1.[H][C@]12CC[C@](C)(C1(C)C)[C@@]1(CCC[C@H](N(C(=O)OCc3ccccc3)[C@@H](C(=O)N(C)C)[C@H](C[N+](=O)[O-])c3ccc(OC)cc3)O1)C2,"['810671-46-6', '3179-10-0']",810671-49-9,31-254-CAS-6084087,1,3,100,,"['109-99-9', '7732-18-5']","stereoselective, de >95%, Michael addition",Highly Stereoselective Michael Addition Reactions of CamTHP-Desymmetrized,"Dixon, Darren J.; Horan, Richard A. J.; Monck, Nathaniel J. T.; Berg,","Organic Letters (2004), 6(24), 4427-4429","['4039-32-1', '64-19-7']",General/Typical Procedure: General procedure for the Michael reaction of,
